Question,Choice 1,Choice 2,Choice 3,Choice 4,Correct Answer,Explanation,Source
¿Cuál de los siguientes es un requisito general para obtener una licencia de bienes raíces en Florida?,Debe tener al menos 21 años de edad,Debe revelar sus antecedentes penales,Debe ser ciudadano de los EE. UU,Debe tener un título universitario de 4 años,2,,PREP-FL-Spanish Quizzes 2.4.
¿Cuál de las siguientes tarifas se puede eximir a un miembro de las fuerzas armadas de los EE. UU.?,Cuota del Fondo de Recuperación de Bienes Raíces,Tasa de solicitud,Tarifa de procesamiento de huellas dactilares,Cuota de licencia inicial,4,,PREP-FL-Spanish Quizzes 2.5.
¿Cuál de las siguientes afirmaciones es verdadera?,Un solicitante con una condena penal eliminada no necesita revelar esa condena,Un solicitante que actualmente está en libertad condicional por una condena penal no será incluido en la lista de Resumen de Solicitantes,Las huellas dactilares de un solicitante se envían al FBI para una verificación de antecedentes penales,"Si un solicitante tiene antecedentes penales, se le negará automáticamente la licencia",3,,PREP-FL-Spanish Quizzes 2.6.
Un solicitante debe ser aprobado o denegado dentro de ______ días de la recepción de la solicitud,90,60,45,30,1,,PREP-FL-Spanish Quizzes 2.7.
¿En qué circunstancias se pueden recuperar las horas de clase previas a la licencia?,Solo con la aprobación de la Comisión,Si algún estudiante pierde más de 8 horas de clase,Si un estudiante pierde más de 8 horas debido a una dificultad económica,Si un estudiante falta más de 8 horas debido a una enfermedad,4,,PREP-FL-Spanish Quizzes 2.8.
Abogados al día con el Colegio de Abogados de Florida,debe completar la educación previa a la licencia y pasar el examen estatal,"deben completar la educación previa a la licencia, pero están exentos del examen estatal","están exentos de la educación previa a la licencia, pero deben tomar el examen estatal",Debe completar la educación previa a la licencia y pasar el examen de fin de curso,3,,PREP-FL-Spanish Quizzes 2.9.
Los solicitantes de asociado de ventas deben,Completar 72 horas de educación previa a la licencia,Pasar el examen de fin de curso con una puntuación del 90% o superior,Pasar el examen de licencia estatal con una puntuación del 75% o superior,Aprobar el examen de licencia estatal en el primer intento,3,,PREP-FL-Spanish Quizzes 2.10.
¿Cuál de las siguientes afirmaciones es falsa?,Los solicitantes que no pasen el examen de licencia estatal pueden volver a tomarlo solo una vez dentro de un año de haberlo fallado,Los solicitantes que no aprueben el examen de licencia estatal pueden volver a tomarlo tantas veces como sea necesario para aprobarlo dentro de los 2 años posteriores a su aprobación,A los solicitantes que aprueban el examen de licencia estatal se les emite una licencia en estado inactivo,Los solicitantes de asociado de ventas que aprueben el examen estatal deben asociarse con un corredor específico,1,,PREP-FL-Spanish Quizzes 2.11.
¿Cuál de los siguientes es un requisito para una licencia de corredor pero no un requisito para una licencia de asociado de ventas?,Cursos previos a la licencia,Cursos posteriores a la licencia,Título universitario de 4 años,Requisito de experiencia de 2 años,4,,PREP-FL-Spanish Quizzes 2.12.
Un curso de pre-licencia de corredor incluye:,Los fundamentos de la tasación inmobiliaria,75 horas lectivas,73 horas lectivas,Horas de clase de 60 minutos,1,,PREP-FL-Spanish Quizzes 2.13.
Un residente de Florida es alguien que,planea mudarse a Florida dentro del próximo año,"nació en Florida, independientemente de dónde resida la persona ahora",ha residido en Florida continuamente durante 4 o más meses dentro del año anterior,posee una propiedad en Florida si la persona vive o no en la propiedad,3,,PREP-FL-Spanish Quizzes 2.14.
Florida proporciona licencias de reciprocidad para,no residentes de estados con los que Florida tiene un acuerdo de reciprocidad,personal militar en servicio activo que tiene licencia en otro estado,cualquier persona de bajos ingresos de otro estado,no ciudadanos estadounidenses,2,,PREP-FL-Spanish Quizzes 2.15.
¿Quién debe inscribirse en el FREC?,Corporaciones que deseen convertirse en autorizado,Solo asociados de ventas,Solo corredores,Toda persona o entidad con licencia,4,,PREP-FL-Spanish Quizzes 2.16.
Los corredores deben completar _____ horas de educación posterior a la licencia,60,45,30,0,1,,PREP-FL-Spanish Quizzes 2.17.
¿Cuándo se debe completar la educación posterior a la licencia?,Durante cada período de licencia después de la renovación inicial,Durante el primer período de licencia antes del vencimiento de la licencia,Antes de la fecha de vencimiento de la licencia de cada período de licencia,Dentro de 1 año de la licencia inicial,2,,PREP-FL-Spanish Quizzes 2.18.
"Si un licenciatario completa 3 horas de educación en Ley Básica cada año durante un período de licencia, ¿cuántas horas adicionales de educación continua debe completarse para ese período?",14 horas,11 horas,8 horas,6 horas,3,,PREP-FL-Spanish Quizzes 2.19.
¿Cuál de los siguientes NO es un requisito para reactivar una licencia inactiva involuntaria?,Completar un curso educativo de 28 horas,Aprobar un examen de fin de curso con una puntuación del 70%,Tener una dificultad,Asistir al menos al 90% de las horas de instrucción,3,,PREP-FL-Spanish Quizzes 2.20.
El DBPR se rige por,"F.S. Título IV, Sección 20",F.S. Capítulo 455,F.S. Capítulo 120,F.S. Capítulo 475,3,,PREP-FL-Spanish Quizzes 3.1.
La intención legislativa al establecer el DBPR y sus estatutos relacionados fue,restringir la competencia en la profesión inmobiliaria,crear estándares restrictivos para la concesión de licencias profesionales,imponer restricciones a las personas cualificadas que quisieran ejercer la profesión inmobiliaria,proteger al público de las prácticas comerciales no reguladas,4,,PREP-FL-Spanish Quizzes 3.2.
¿Cuál de las siguientes opciones NO investiga las quejas contra los licenciatarios?,Comisión de Bienes Raíces de Florida,División de Bienes Raíces,División de Profesiones,Departamento de Negocio y Regulación Profesional,3,,PREP-FL-Spanish Quizzes 3.3.
Se conservarán registros del examen de cada solicitante,durante 2 años,hasta que el solicitante pase el examen,hasta la primera renovación de la licencia del licenciatario,durante 7 años,1,,PREP-FL-Spanish Quizzes 3.4.
La función de la División de Bienes Raíces es,cobrar las tarifas y las evaluaciones de los solicitantes de licencias,apoyar a la Comisión de Bienes Raíces de la Florida,proporcionar servicios para todos los exámenes,supervisar los procedimientos de renovación de licencias,2,,PREP-FL-Spanish Quizzes 3.5.
El panel de causa probable,impone sanciones a los licenciatarios que hayan violado la ley de licencias,determina si un solicitante califica para la licencia,debe incluir a un miembro actual del FREC,no debe incluir a ex miembros de las FREC,3,,PREP-FL-Spanish Quizzes 3.6.
El FREC incluye,cinco miembros que tienen licencias de bienes raíces,cuatro miembros del público en general que nunca han sido corredores con licencia,siete miembros que hayan tenido licencias de corredor durante los últimos 5 años,dos miembros que hayan tenido licencias de asociado de ventas durante los 2 años anteriores,1,,PREP-FL-Spanish Quizzes 3.7.
¿Cuál de las siguientes afirmaciones es verdadera?,al menos uno de los miembros de la FREC debe tener al menos 65 años de edad,el gobernador nombra anualmente al presidente y al vicepresidente de la FREC,los miembros del FREC no pueden ejercer más de dos mandatos consecutivos,todos los miembros de FREC cumplen mandatos escalonados de 2 años,3,,PREP-FL-Spanish Quizzes 3.8.
"Si las tarifas a cobrar por el FREC son más de lo requerido para un saldo de efectivo, el FREC puede",reembolsar la diferencia a las personas que pagaron las tarifas,colocar los fondos excedentes en una cuenta para los licenciatarios y solicitantes con dificultades económicas,dejar de cobrar las tarifas durante los siguientes 2 años,disminuir el monto de las tarifas apropiadas que se cobrarán,4,,PREP-FL-Spanish Quizzes 3.9.
"Si un titular de licencia viola penalmente la ley de licencias, el FREC está obligado a",denunciar la infracción al Fiscal del Estado,notificar la violación al Fiscal General,poner al titular de la licencia en período de prueba,imponer una multa civil al titular de la licencia,1,,PREP-FL-Spanish Quizzes 3.10.
Todas las licencias expiran,el 30 de Abril o el 31 de Octubre,el 31 de Marzo o el 30 de Septiembre,2 años después de la fecha de emisión de la licencia,el 1 de enero cada 2 años,2,,PREP-FL-Spanish Quizzes 3.11.
La primera licencia de asociado de ventas de Sally se emitió el 15 de Marzo de 2019. ¿Cuándo expira su licencia?,"Septiembre 30, 2021",15 de Marzo de 2021,"Septiembre 30, 2020",31 de Marzo de 2021,3,,PREP-FL-Spanish Quizzes 3.12.
La primera licencia de asociado de ventas de Sally se emitió el 15 de marzo de 2019. ¿Qué sucede si Sally no completa su educación posterior a la licencia antes de la fecha de vencimiento de su licencia?,Sally tiene 2 años adicionales para completar la educación y renovar su licencia,se le cobrará un cargo por renovación tardía,su licencia quedará inactiva involuntariamente hasta que complete la educación posterior a la licencia,la licencia de Sally quedará anulada y sin efecto,4,,PREP-FL-Spanish Quizzes 3.13.
Sally es miembro de la Marina de los Estados Unidos. ¿Qué debe hacer para renovar su licencia de bienes raíces?,completar la educación continua y solicitar la renovación,solicitar la renovación y pagar la tasa de renovación,"completar la educación continua, solicitar la renovación y pagar la tarifa de renovación",Sally está exenta de los requisitos de renovación,4,,PREP-FL-Spanish Quizzes 3.14.
"Si un licenciatario no renueva una licencia activa antes de la fecha de vencimiento, ¿qué sucede?",la licencia se vuelve inactiva voluntariamente,la licencia se convierte en nula y sin efecto,la licencia se vuelve inactiva involuntariamente,"nada, el licenciatario tiene automáticamente 2 años para renovar la licencia",3,,PREP-FL-Spanish Quizzes 3.15.
"Si un titular de licencia comete una violación penal de la ley de licencias, el FREC debe",enjuiciar penalmente al titular de la licencia,revocar inmediatamente la licencia del titular de la licencia,denunciar la infracción al Fiscal del Estado,notificar a la policía,3,,PREP-FL-Spanish Quizzes 3.16.
La esencia de la relación de agencia entre un agente y un cliente puede describirse mejor como una relación de,"consentimiento mutuo, consideración y aceptación","diligencia, resultados y compensación","servicio, dignidad y respeto","confianza, seguridad y buena fe",4,,PREP-FL-Spanish Quizzes 4.1.
"En una relación de agencia, el cliente está obligado a",promover los mejores intereses del agente,aceptar el consejo del agente,proporcionar información suficiente para que el agente complete las tareas del agente,mantener la confidencialidad,3,,PREP-FL-Spanish Quizzes 4.2.
Un cliente empodera a un agente para llevar a cabo las actividades en curso de una de sus empresas comerciales. Este es un ejemplo de,agencia limitada,agencia general,agencia universal,agencia especial,2,,PREP-FL-Spanish Quizzes 4.3.
Un vendedor de propiedades empodera a un agente para comercializar y vender una propiedad en su nombre. Este es un ejemplo de,agencia General,agencia especial,agencia universal,no hay agencia,2,,PREP-FL-Spanish Quizzes 4.4.
La agencia implícita surge cuando,un agente acepta un listiado oral,un cliente acepta un listiado oral,una de las partes crea una relación de agencia fuera de un acuerdo expreso,"un cliente acepta todos los términos de un acuerdo de cotización por escrito, ya sea expreso o implícito",3,,PREP-FL-Spanish Quizzes 4.5.
¿Por cuál de las siguientes razones se puede terminar involuntariamente una relación de agencia?,Muerte o incapacidad del agente,Consentimiento mutuo,Rendimiento completo,Renovación de la licencia de agente,1,,PREP-FL-Spanish Quizzes 4.6.
"Una directora revela que vendería una propiedad por $375,000. Durante el período de listado, la casa se comercializa por $ 425,000. No llegan ofertas y el listado expira. Dos semanas después, el agente se queja a un consumidor de que el vendedor habría vendido por menos del precio de lista. ¿Cuál de las siguientes afirmaciones es verdadera?",El agente ha violado el deber de confidencialidad,"El agente ha cumplido con todos los deberes fiduciarios, incluida la confidencialidad, desde que expiró el listado",El agente está violando los deberes que se le deben a este cliente,El agente ha creado una situación de doble agencia con el cliente,1,,PREP-FL-Spanish Quizzes 4.7.
"Un director instruye a un agente para que comercialice una propiedad solo a familias en el lado norte de la ciudad. El agente se niega a cumplir. En este caso,",El agente ha violado el deber fiduciario,El agente no ha violado el deber fiduciario,El agente es responsable de incumplir los términos del la cotización,El agente debe obedecer las instrucciones para salvar el listado,2,,PREP-FL-Spanish Quizzes 4.8.
Un agente del propietario le muestra a un comprador un edificio de apartamentos. El comprador nota manchas de agua en el techo e informa al agente. El mejor curso de acción del agente es,contratar inmediatamente para pintar el techo,contratar inmediatamente la reparación del techo,sugerir al comprador que haga una oferta de precio más bajo,informar al vendedor,4,,PREP-FL-Spanish Quizzes 4.9.
Un agente debe a los consumidores varias obligaciones. Estos pueden describirse mejor como *****,"trato justo, cuidado y honestidad","obediencia, confidencialidad y contabilidad","diligencia, cuidado y lealtad","honestidad, diligencia y habilidad",1,,PREP-FL-Spanish Quizzes 4.10.
"Un agente no descubre marcas de inundación en las paredes del sótano de una propiedad. El agente vende la propiedad y el comprador luego demanda al agente por no mencionar el problema. En este caso, el agente",puede ser culpable de tergiversación intencional,está expuesto a un cargo de tergiversación negligente,"tiene poca exposición, ya que el problema no se mencionó en el formulario de divulgación firmado","no es vulnerable, ya que el problema no fue descubierto",2,,PREP-FL-Spanish Quizzes 4.11.
"Un agente informa a un comprador que una cláusula de un contrato es un lenguaje estándar. Después de explicar la cláusula, el agente asegura al comprador que la cláusula no significa nada significativo. Si algo sale mal con la transacción, el agente podría ser responsable de",violando los deberes debidos a un consumidor,malinterpretando la cláusula,tergiversación intencionada,ejercer la abogacía sin licencia,4,,PREP-FL-Spanish Quizzes 4.12.
"Un corredor externo localiza a un vendedor para el cliente de un representante del comprador. En este caso, el corredor externo actúa como",un solo agente,un agente dual,un subagente,un agente secreto,3,,PREP-FL-Spanish Quizzes 4.13.
"El agente Bob, que trabaja para Broker Bill, obtiene un listiado del propietario para arrendar un edificio. La otra agente de Bill, Sue, localiza un inquilino para el listiado de Bob. Esta situación es ilegal en Florida a menos que",Bob y Sue son agentes implícitos,Bob y Sue actúan como intermediarios de transacciones,Bob y Sue son agentes solteros,Sue es la subagente de Bob,2,,PREP-FL-Spanish Quizzes 4.14.
Un licenciatario que actúe como intermediario de transacciones,no podrá representar los intereses de ninguna de las partes en detrimento de la otra parte en la transacción,no puede revelar hechos materiales a ninguna de las partes en la transacción,debe ser obediente y leal a ambas partes,debe exigir que los mandantes participen por igual en el pago de la comisión,1,,PREP-FL-Spanish Quizzes 4.15.
¿Cuándo puede un licenciatario que actúa como agente único hacer la transición a una relación de corretaje de transacciones con un mandante?,Solo antes de que se haya presentado una oferta,Solo en el momento de firmar un acuerdo de cotización,Siempre que el licenciatario y el mandante acuerden hacerlo,En ningún momento; Un solo agente no puede convertirse en un corredor de transacciones,3,,PREP-FL-Spanish Quizzes 4.16.
¿Qué es un asociado de ventas designado?,"Un asociado de ventas designado por un corredor para representar a una parte en una transacción, mientras que otro asociado del corredor es designado para representar a la otra parte",Un asociado de ventas designado por un corredor para administrar una sucursal para el corredor,Un asociado de ventas que es signatario de la cuenta de depósito en garantía de un corredor,Una persona sin licencia designada por un corredor para realizar una tarea específica con licencia de forma temporal,1,,PREP-FL-Spanish Quizzes 4.17.
¿Durante cuánto tiempo debe conservar un corredor los documentos y registros relacionados con una transacción?,Un año,Tres años,Cinco años,Permanentemente,3,,PREP-FL-Spanish Quizzes 4.18.
Se debe hacer una divulgación de una sola agencia,inmediatamente antes del contacto inicial con un cliente,en el momento de firmar un contrato de venta o representación o antes de mostrar un inmueble,inmediatamente antes del contacto sustantivo con cualquiera de las partes,inmediatamente después de cualquier oferta ejecutada por un comprador,2,,PREP-FL-Spanish Quizzes 4.19.
Un licenciatario tiene una relación de no representación con un cliente en una transacción. ¿Qué deberes fiduciarios le debe el licenciatario a esa persona?,Ninguno,Solo confidencialidad,Lealtad y confidencialidad,Habilidad y cuidado,1,,PREP-FL-Spanish Quizzes 4.20.
¿Cuál tipo de relación de corretaje es ilegal en Florida?,Agencia única,Agente de transacciones,Doble agencia,Falta de representación,3,,PREP-FL-Spanish Quizzes 4.21.
¿Cuál deber se requiere en una relación sin representación?,Revelar hechos que afecten materialmente el valor de la propiedad,"Usar habilidad, cuidado y diligencia en la transacción",Confidencialidad limitada a menos que se renuncie por escrito,Presentar todas las ofertas y contraofertas de manera oportuna,1,,PREP-FL-Spanish Quizzes 4.22.
Los asociados de ventas designados se utilizan cuando,La correduría quiere representar tanto al comprador residencial como al vendedor residencial,El comprador y el vendedor no residenciales tienen activos de $1 millón o más,Cualquier cliente solicita la designación,El corredor se encarga de cualquier venta no residencial,2,,PREP-FL-Spanish Quizzes 4.23.
¿Cuál de las siguientes afirmaciones es verdadera?,Los corredores de transacciones tienen deberes fiduciarios para con sus clientes,El deber de confidencialidad limitada impide que el corredor de transacciones revele hechos materiales conocidos,Los intermediarios de transacciones no tienen el deber de lealtad incondicional,Los corredores de transacciones y los agentes únicos tienen los mismos deberes para con sus clientes,3,,PREP-FL-Spanish Quizzes 4.24.
Se deben conservar los registros de divulgación de la relación de corretaje,hasta que la transacción se cierre,durante 2 años,durante 5 años,solo si están relacionados con un procedimiento legal,3,,PREP-FL-Spanish Quizzes 4.25.
"Dos empresas inmobiliarias acuerdan unir sus recursos para el desarrollo y venta de un complejo de apartamentos, por lo que las ganancias se repartirán a partes iguales. Este es un ejemplo de",una asociación cooperativa,un fideicomiso de inversión en bienes raíces,una sociedad en comandita simple,una empresa conjunta,4,,PREP-FL-Spanish Quizzes 5.1.
La publicidad inmobiliaria es una actividad regulada. Una restricción importante en la colocación de anuncios es,Un corredor solo puede colocar anuncios ciegos en publicaciones aprobadas,Un corredor debe tener toda la publicidad aprobada por la agencia reguladora estatal correspondiente,La publicidad no debe ser engañosa,Los agentes de ventas solo pueden anunciarse en su propio nombre,3,,PREP-FL-Spanish Quizzes 5.2.
"Las tres principales firmas de corretaje en un mercado acuerdan cobrar a los clientes la misma tasa de comisión, independientemente de las condiciones del mercado. Este es un ejemplo de",líneas rojas,Fijación de precios,asignación de mercados.,dirección,2,,PREP-FL-Spanish Quizzes 5.3.
¿Cuál de los siguiente ¿NO es un requisito exigido por el estado para la oficina de un corredor?,Ubicado en un edificio con construcción estacionaria,Oficinas cerradas separadas para cada corredor y asociado,Ubicado dentro del estado de Florida,Accesible para personas discapacitadas,2,,PREP-FL-Spanish Quizzes 5.4.
¿ Cuál de las siguientes afirmaciones es verdadera?,Solo la oficina principal del corredor debe estar registrada,Las sucursales cerradas no pueden reabrirse,Los nombres de los asociados de ventas deben aparecer en todos los letreros de la oficina,El registro de una sucursal cerrada no puede transferirse a una nueva sucursal,4,,PREP-FL-Spanish Quizzes 5.5.
La publicidad que no incluya el nombre con licencia del corredor es,apropiado para letreros,considerado fraude,considerada publicidad ciega,apropiado para la publicidad en Internet,3,,PREP-FL-Spanish Quizzes 5.6.
"Si un asociado de ventas acepta un cheque como pago de garantía de un comprador de una propiedad, ¿qué debe hacer el asociado con el cheque?",Cámbialo y espera a que se liquide en el banco antes de depositar los fondos en una cuenta de depósito en garantía,Deposite el cheque en la cuenta de depósito en garantía de la correduría dentro de las 48 horas,Entregue el cheque al corredor empleador al final del siguiente día hábil,Entregue el cheque al corredor empleador antes del final del tercer día hábil siguiente a la recepción del cheque,3,,PREP-FL-Spanish Quizzes 5.7.
"Los corredores deben depositar fondos de terceros inmediatamente. ¿Cómo define Florida ""inmediatamente",El mismo día que el bróker recibió los fondos,A más tardar al final del tercer día hábil siguiente a la recepción de los fondos,A más tardar al final del siguiente día hábil siguiente a la recepción de los fondos,Dentro de las 24 horas posteriores a la recepción de los fondos,2,,PREP-FL-Spanish Quizzes 5.8.
"Si un corredor decide utilizar una cuenta que devenga intereses para fondos en garantía, debe",obtener el acuerdo por escrito de todas las partes involucradas,desembolsar los intereses en cantidades iguales a todas las partes involucradas cada mes,retirar los intereses de la cuenta de depósito en garantía mensualmente y depositarlos en su cuenta comercial,a los corredores no se les permite usar cuentas de depósito en garantía que devengan intereses,1,,PREP-FL-Spanish Quizzes 5.9.
"Si las partes de una transacción no están de acuerdo sobre el desembolso de los fondos de depósito en garantía, el corredor debe notificar al FREC",dentro de los 15 días hábiles siguientes a la última solicitud,dentro de los 30 días hábiles siguientes a la última solicitud,al final del siguiente día hábil,a más tardar al final del tercer día hábil siguiente a la última solicitud,1,,PREP-FL-Spanish Quizzes 5.10.
Un procedimiento de resolución de conflictos de depósito en garantía que coloca los fondos en depositario de un tribunal y retira al corredor de la disputa se llama,arbitraje,orden de desembolso de depósito en garantía,acción interpeladora,mediación,3,,PREP-FL-Spanish Quizzes 5.11.
"Si el comprador de una propiedad no cumple con las disposiciones de financiamiento del contrato de venta, ¿qué puede hacer el corredor con los fondos de depósito en garantía?",Notificar al FREC en un plazo de 10 días,Inició un procedimiento de liquidación en un plazo de 30 días,Liberar los fondos de depósito en garantía al comprador sin notificar al FREC,Liberar los fondos de depósito en garantía al vendedor dentro de los 15 días hábiles,3,,PREP-FL-Spanish Quizzes 5.12.
¿Qué puede suceder si un licenciatario paga salarios por hora a un asistente personal?,La licencia del titular de la licencia puede ser suspendida o revocada,El titular de la licencia puede enfrentarse a penas de prisión,El corredor puede enfrentar cargos penales,Esto es legal,4,,PREP-FL-Spanish Quizzes 5.13.
¿En qué circunstancias puede un licenciatario ofrecer una opinión de título?,Cuando el licenciatario desarrolla la opinión del título con la ayuda de su corredor empleador,Cuando el licenciatario obtiene la opinión del título de un abogado y transmite la información al cliente,Cuando el licenciatario utiliza el resumen del título completado por la compañía de títulos para desarrollar la opinión del título,Cuando el cliente no desea consultar a un abogado,2,,PREP-FL-Spanish Quizzes 5.14.
"En Florida, el ejercicio de la abogacía sin licencia es un",delito menor de tercer grado,delito grave de primer grado,violación civil,delito grave de tercer grado,4,,PREP-FL-Spanish Quizzes 5.15.
"Sarah es una asociada de ventas que se encargó de la venta de la propiedad de John. John pagó la comisión al agente que empleaba a Sarah, Stan, pero Stan nunca le pagó a Sarah su parte de la comisión. ¿Qué puede hacer Sara?",Demandar a John por no pagarle directamente a Sarah,Demandar a Stan por no pagarle a Sarah su parte de la comisión,Denunciar a Stan al FREC por una violación de la ley de licencias,"Nada, los asociados de ventas no pueden demandar",2,,PREP-FL-Spanish Quizzes 5.16.
"Si un licenciatario cambia de corredor de empleo, debe notificar al FREC del cambio",inmediatamente,dentro de los 30 días posteriores al cambio,dentro de los 10 días posteriores al cambio,no es necesario notificar al FREC de un cambio de corredor empleador,3,,PREP-FL-Spanish Quizzes 5.17.
¿Cuál de las siguientes entidades pueden registrarse como corretaje:,Suela corporativa,Fideicomiso empresarial,Asociación no incorporadad,Sociedad de responsabilidad limitada,4,,PREP-FL-Spanish Quizzes 5.18.
Cuál de las siguientes afirmaciones es verdadera?,A los asociados de ventas no se les permite usar un nombre comercial,Los nombres comerciales no están incluidos en la licencia del corredor,Un corredor no necesita que se le emita una nueva licencia si cambia su nombre comercial,"Una vez registrado, un corredor esta prohibido cambiar de nombre comercial",1,,PREP-FL-Spanish Quizzes 5.19.
Una asociación no incorporada,puede registrarse como corretaje de bienes raíces,es una relación jurídicamente vinculante entre sus miembros,es complicado de formar,puede ser propietario de bienes a su nombre,2,,PREP-FL-Spanish Quizzes 5.20.
"En una empresa conjunta,",El arreglo es permanente,Se requiere un acuerdo por escrito,Los miembros participantes deben tener el control conjunto,Solo el socio mayoritario tiene el deber de cuidado y lealtad,3,,PREP-FL-Spanish Quizzes 5.21.
Una LLC es una,corporación legal limitada,compañía de responsabilidad limitada,empresa de responsabilidad legal,corporación de responsabilidad limitada,2,,PREP-FL-Spanish Quizzes 5.22.
¿Cuál de las siguientes entidades puede presentar el estatus de exención de impuestos federales 501(c)(3)?,Sociedad de responsabilidad limitada,Aparente asociación,Empresa individual,Corporación sin fines de lucro,4,,PREP-FL-Spanish Quizzes 5.23.
¿Qué tipo de entidad comercial está prohibida?,Corporación con fines de lucro,Sociedad comanditaria,Aparente asociación,Único de la corporación,3,,PREP-FL-Spanish Quizzes 5.24.
¿Cuál de los siguientes no puede registrarse como corretaje?,Asociación cooperativa,Sociedad de responsabilidad limitada,Corporación sin fines de lucro,Sociedad colectiva,1,,PREP-FL-Spanish Quizzes 5.25.
"Si un licenciatario cambia de un corredor empleador a otro, el licenciatario",todavía debe el deber de confidencialidad al antiguo corredor y a los mandantes,no tiene más deberes con el antiguo corredor,debe toda la gama de deberes a ambos corredores,puede ser puesto en libertad condicional,1,,PREP-FL-Spanish Quizzes 5.26.
Los licenciatarios que cambian de corredor de empleo tienen prohibido,incluir el nombre comercial del ex corredor en un currículum,actuando como corredor cooperante con el corredor anterior,realizar cualquier acto con licencia bajo el nuevo corredor durante seis meses,eliminar los registros de la oficina del corredor anterior,4,,PREP-FL-Spanish Quizzes 5.27.
Se debe presentar una queja administrativa contra un corredor ___________ después de que haya ocurrido la infracción o después de que se haya descubierto la infracción,2 años,ser el final de la jornada al día siguiente,no más de 4 años,en un plazo de 5 años,4,,PREP-FL-Spanish Quizzes 6.1.
¿Bajo qué circunstancias el DBPR no puede notificar al licenciatario infractor de una investigación?,Si el delincuente es un peligro para el público,Si el Panel de Causa Probable encuentra causa probable,Si el delito es un acto criminal,Si el infractor es un corredor que emplea a asociados de ventas,3,,PREP-FL-Spanish Quizzes 6.2.
¿Cuándo puede el DBPR emitir un aviso de incumplimiento a un licenciatario?,Cuando la queja es por una infracción menor por primera vez,Cuando el titular de la licencia impugna las alegaciones de una queja,Cuando la denuncia es por un delito menor en primer grado,Cuando el FREC ordena al DBPR que emita el aviso,1,,PREP-FL-Spanish Quizzes 6.3.
Cuándo se emite una suspensión sumaria?,Cuando hay múltiples infracciones por parte del mismo licenciatario,Cuando la queja es el resultado de que el titular de la licencia cometa un delito grave,Cuando el DBPR cree que el titular de la licencia representa un peligro inmediato para el público,Cuando una investigación da como resultado un hallazgo de causa probable,3,,PREP-FL-Spanish Quizzes 6.4.
"Cuando el DBPR inicia una investigación y notifica al licenciatario infractor, el licenciatario puede responder a la queja dentro de",24 horas,10 días,20 días,30 días,3,,PREP-FL-Spanish Quizzes 6.5.
¿Cuántos miembros actuales de la Comisión deben participar en un Panel de Causa Probable?,Ninguno,1,2,3 o más,2,,PREP-FL-Spanish Quizzes 6.6.
