Question,Choice 1,Choice 2,Choice 3,Choice 4,Correct Answer,Explanation,Source
Which of the following statements is false?,Applicants who fail the state license exam may retake it only once within a year of failing it,Applicants who fail the state license exam may retake it as many times as necessary to pass it within 2 years of failing it,Applicants who pass the state license exam are issued a license in inactive status,Sales associate applicants who pass the state exam must become associated with a specific broker,a,,PREP FL 2.11
Which of the following is a requirement for a broker license but not a requirement for a sales associate license?,Prelicense coursework,Post-license coursework,4-year college degree,2-year experience requirement,d,,PREP FL 2.12
A broker pre-license course includes,the fundamentals of real estate appraising,75 classroom hours,73 classroom hours,60-minute classroom hours,a,,PREP FL 2.13
A Florida resident is someone who,plans to move to Florida within the next year,was born in Florida regardless of where the person now resides,has resided in Florida continuously for 4 or more months within the previous year,owns property in Florida whether or not the person lives on the property,c,,PREP FL 2.14
Florida provides reciprocity licensure for,nonresidents from states with whom Florida has a reciprocity agreement,active duty military personnel who are licensed in another state,any low-income individuals from another state,non U.S. citizens,b,,PREP FL 2.15
Who must register with the FREC?,Corporations who wish to become licensed,Only sales associates,Only brokers,Every licensed person or entity,d,,PREP FL 2.16
Brokers must complete _____ hours of post-license education,60,45,30,0,a,,PREP FL 2.17
When must post-license education be completed?,During each license period after the initial renewal,During the first license period prior to license expiration,Prior to the license expiration date of every license period,Within 1 year of initial licensure,b,,PREP FL 2.18
"If a licensee completes 3 hours of Core Law education each year during a license period, how many additional continuing education hours must be completed for that period?",14 hours,11 hours,8 hours,6 hours,c,,PREP FL 2.19
Which of the following is NOT a requirement of reactivating an involuntary inactive license?,Completing a 28-hour education course,Passing an end-of-course exam with a 70% score,Having a hardship,Attending at least 90% of the instructional hours,c,,PREP FL 2.20
The DBPR is governed by,"F.S. Title IV, Section 20",F.S. Chapter 455,F.S. Chapter 120,F.S. Chapter 475,c,,PREP FL 3.1
The legislative intent in establishing the DBPR and its related statutes was to,restrict competition in the real estate profession,create restrictive standards for professional licensure,place restrictions on qualified individuals who wanted to practice the real estate profession,protect the public from unregulated business practices,d,,PREP FL 3.2
Which of the following does NOT investigate complaints against licensees?,Florida Real Estate Commission,Division of Real Estate,Division of Professions,Department of Business and Professional Regulation,c,,PREP FL 3.3
Records of each applicant’s examination are to be kept,for 2 years,until the applicant passes the exam,until the licensee’s first license renewal,for 7 years,a,,PREP FL 3.4
The function of the Division of Real Estate is to,collect fees and assessments from licensure applicants,support the Florida Real Estate Commission,provide services for all examinations,oversee license renewal procedures,b,,PREP FL 3.5
The probable cause panel,imposes penalties on licensees who have violated license law,determines if an applicant qualifies for licensure,must include one current member of the FREC,must not include former members of the FREC,c,,PREP FL 3.6
The FREC includes,five members who hold real estate licenses,four members of the general public who have never been licensed brokers,seven members who have held broker licenses for the previous 5 years,two members who have held sales associate licenses for the preceding 2 years,a,,PREP FL 3.7
Which of the following statements is true?,At least one member of the FREC must be at least 65 years old,The governor appoints the FREC chairperson and vice-chairperson annually,Members of the FREC must not serve more than two consecutive terms,All FREC members serve 2-year staggered terms,c,,PREP FL 3.8
"If the fees to be collected by the FREC will be more than required for a cash balance, the FREC may",refund the difference to the individuals who paid the fees,place the excess funds into an account for economically challenged licensees and applicants,cease collecting fees for the following 2 years,decrease the amount of appropriate fees to be collected,d,,PREP FL 3.9
"If a licensee criminally violates license law, the FREC is required to",report the violation to the State Attorney,notify the Attorney General of the violation,place the licensee on probation,impose a civil fine on the licensee,a,,PREP FL 3.10
All licenses expire,on April 30 or October 31,on March 31 or September 30,2 years after the date of license issuance,on January 1 every 2 years,b,,PREP FL 3.11
"Sally’s first sales associate license was issued on March 15, 2019. When will her license expire?",30-Sep-21,15-Mar-21,30-Sep-20,31-Mar-21,c,,PREP FL 3.12
"Sally’s first sales associate license was issued on March 15, 2019. What happens if Sally does not complete her post-license education before her license expiration date?",Sally has 2 additional years to complete the education and renew her license,She will be charged a late renewal fee,Her license will become involuntarily inactive until she completes the post-license education,Sally’s license will become null and void,d,,PREP FL 3.13
Sally is a member of the U.S. Navy. What must she do to renew her real estate license?,Complete continuing education and apply for renewal,Apply for renewal and pay the renewal fee,"Complete continuing education, apply for renewal, and pay the renewal fee",Sally is exempt from renewal requirements,d,,PREP FL 3.14
"If a licensee does not renew an active license by the expiration date, what happens?",The license becomes voluntarily inactive,The license becomes null and void,The license becomes involuntarily inactive,"Nothing, the licensee is automatically given 2 years to renew the license",c,,PREP FL 3.15
"If a licensee commits a criminal violation of license law, the FREC must",criminally prosecute the licensee,immediately revoke the licensee’s license,report the violation to the State Attorney,notify the police,c,,PREP FL 3.16
The essence of the agency relationship between an agent and a principal can best be described as a relationship of,"mutual consent, consideration, and acceptance","diligence, results, and compensation","service, dignity, and respect","trust, confidence, and good faith",d,,PREP FL 4.1
"In an agency relationship, the principal is required to",promote the agent's best interests,accept the advice of the agent,provide sufficient information for the agent to complete the agent’s tasks,maintain confidentiality,c,,PREP FL 4.2
A principal empowers an agent to conduct the ongoing activities of one of her business enterprises. This is an example of,limited agency,general agency,universal agency,special agency,b,,PREP FL 4.3
A property seller empowers an agent to market and sell a property on his behalf. This is an example of,general agency,special agency,universal agency,no agency,b,,PREP FL 4.4
Implied agency arises when,an agent accepts an oral listing,a principal accepts an oral listing,a party creates an agency relationship outside of an express agreement,"a principal agrees to all terms of a written listing agreement, whether express or implied",c,,PREP FL 4.5
An agency relationship may be involuntarily terminated for which of the following reasons?,Death or incapacity of the agent,Mutual consent,Full performance,Renewal of the agent's license,a,,PREP FL 4.6
"A principal discloses that she would sell a property for $375,000. During the listing period, the house is marketed for $425,000. No offers come in, and the listing expires. Two weeks later, the agent grumbles to a customer that the seller would have sold for less than the listed price. Which of the following is true?",The agent has violated the duty of confidentiality,"The agent has fulfilled all fiduciary duties, including confidentiality, since the listing had expired",The agent is violating the duties owed this customer,The agent has created a dual agency situation with the customer,a,,PREP FL 4.7
"A principal instructs an agent to market a property only to families on the north side of town. The agent refuses to comply. In this case,",the agent has violated fiduciary duty,the agent has not violated fiduciary duty,the agent is liable for breaching the listing terms,the agent should obey the instruction to salvage the listing,b,,PREP FL 4.8
"An owner's agent is showing a buyer an apartment building. The buyer notices water stains on the ceiling, and informs the agent. The agent's best course of action is to",immediately contract to paint the ceiling,immediately contract to repair the roof,suggest the buyer make a lower-price offer,inform the seller,d,,PREP FL 4.9
An agent owes customers several duties. These may be best described as,"fairness, care, and honesty","obedience, confidentiality, and accounting","diligence, care, and loyalty","honesty, diligence, and skill",a,,PREP FL 4.10
"An agent fails to discover flood marks on the walls in the basement of a property. The agent sells the property, and the buyer later sues the agent for failing to mention the problem. In this case, the agent",may be guilty of intentional misrepresentation,has an exposure to a charge of negligent misrepresentation,"has little exposure, since the problem was not mentioned on the signed disclosure form","is not vulnerable, since the problem was not discovered",b,,PREP FL 4.11
"An agent informs a buyer that a clause in a contract is standard language. After explaining the clause, the agent assures the buyer that the clause does not mean anything significant. If something goes wrong with the transaction, the agent could be liable for",violating duties owed a customer,misinterpreting the clause,intentional misrepresentation,practicing law without a license,d,,PREP FL 4.12
"An outside broker locates a seller for a buyer representative's client. In this instance, the outside broker is acting as",a single agent,a dual agent,a subagent,a secret agent,c,,PREP FL 4.13
"Agent Bob, who works for Broker Bill, obtains an owner listing to lease a building. Bill's other agent, Sue, locates a tenant for Bob's listing. This situation is illegal in Florida unless",Bob and Sue are implied agents,Bob and Sue are acting as transaction brokers,Bob and Sue are single agents,Sue is Bob’s subagent,b,,PREP FL 4.14
A licensee acting as a transaction broker,may not represent any party's interests to the detriment of the other party in the transaction,may not disclose material facts to any party in the transaction,must be obedient and loyal to both parties,must require that the principals share equally in paying the commission,a,,PREP FL 4.15
When may a licensee acting as a single agent transition to a transaction brokerage relationship with a principal?,Only before an offer has been presented,Only at the time of signing a listing agreement,Whenever the licensee and principal agree to do so,At no time; a single agent may not become a transaction broker,c,,PREP FL 4.16
What is a designated sales associate?,A sales associate designated by a broker to represent one party in a transaction while another associate of the broker is designated to represent the other party,A sales associate designated by a broker to manage a branch office for the broker,A sales associate who is a signatory on a broker’s escrow account,An unlicensed person designated by a broker to perform a specific licensed task on a temporary basis,a,,PREP FL 4.17
For how long must a broker retain documents and records relating to a transaction?,One year,Three years,Five years,Permanently,c,,PREP FL 4.18
A single agency disclosure must be made,immediately prior to initial contact with a principal,at the time of signing a listing or representation agreement or before showing a property,immediately prior to substantive contact with any party,immediately following any offer executed by a buyer,b,,PREP FL 4.19
A licensee has a nonrepresentation relationship with a transaction principal. What fiduciary duties does the licensee owe to that person?,None,Confidentiality only,Loyalty and confidentiality,Skill and care,a,,PREP FL 4.20
Which type of brokerage relationship is illegal in Florida?,Single agency,Transaction broker,Dual agency,Nonrepresentation,c,,PREP FL 4.21
Which duty is required in a nonrepresentation relationship?,Disclosing facts that materially affect the property’s value,"Using skill, care, and diligence in the transaction",Limited confidentiality unless waived in writing,Presenting all offers and counteroffers in a timely manner,a,,PREP FL 4.22
Designated sales associates are used when,the brokerage wants to represent both the residential buyer and the residential seller,the nonresidential buyer and seller have assets of $1 million or more,any client requests the designation,the broker is handling any nonresidential sale,b,,PREP FL 4.23
Which of the following statements is true?,Transaction brokers owe fiduciary duties to their clients,The duty of limited confidentiality prevents the transaction broker from disclosing known material facts,Transaction brokers have no duty of undivided loyalty,Transaction brokers and single agents owe the same duties to their clients,c,,PREP FL 4.24
Brokerage relationship disclosure records must be retained,until the transaction closes,for 2 years,for 5 years,only if related to a legal proceeding,c,,PREP FL 4.25
"Two real estate companies agree to conjoin their resources for the development and sale of an apartment complex, for which profits will be shared equally. This is an example of",a cooperative association,a real estate investment trust,a limited partnership,a joint venture,d,,PREP FL 5.1
Real estate advertising is a regulated activity. One important restriction in placing ads is,a broker may only place blind ads in approved publications,a broker must have all advertising approved by the proper state regulatory agency,the advertising must not be misleading,sales agents may only advertise in their own name,c,,PREP FL 5.2
"The three principal brokerage firms in a market agree to charge clients the same commission rate, regardless of market conditions. This is an example of",redlining,price fixing,allocation of markets,steering,b,,PREP FL 5.3
Which of the following is NOT a state mandated requirement for a broker’s office?,Located in a building with stationary construction,Separate enclosed offices for each broker and associate,Located within State of Florida,Accessible to handicapped individuals,b,,PREP FL 5.4
Which of the following statements is true?,Only the broker’s main office must be registered,Closed branch offices may not be reopened,Sales associates’ names must be shown on all office signage,The registration for a closed branch office may not be transferred to a new branch office,d,,PREP FL 5.5
Advertising that does not include the broker’s licensed name is,appropriate for signage,considered fraud,considered blind advertising,appropriate for internet advertising,c,,PREP FL 5.6
"If a sales associate accepts as earnest money payment from a property buyer, what must the associate do with the check?",Cash it and wait for it to clear the bank before depositing the funds into an escrow account,Deposit the check into the brokerage’s escrow account within 48 hours,Turn the check over to the employing broker by end of the next business day,Give the check to the employing broker by end of the third business day following receipt of the check,c,,PREP FL 5.7
Brokers are required to deposit third party funds immediately. How does Florida define “immediately”?,The same day the broker received the funds,No later than the end of the third business day following receipt of the funds,No later than the end of the next business day following receipt of the funds,Within 24 hours of receipt of the funds,b,,PREP FL 5.8
"If a broker chooses to use an interest-bearing account for escrow funds, he must",obtain written agreement from all involved parties,disburse the interest in equal amounts to all involved parties each month,withdraw the interest from the escrow account monthly and deposit it into his business account,Brokers are not permitted to use interest-bearing escrow accounts,a,,PREP FL 5.9
"If the parties to a transaction do not agree on the disbursement of escrow funds, the broker must notify the FREC",within 15 business days of the last demand,within 30 business days of the last demand,by end of the next business day,no later than the end of the third business day following the last demand,a,,PREP FL 5.10
An escrow conflict resolution procedure that places the funds into a court’s depository and removes the broker from the dispute is called,arbitration,escrow disbursement order,interpleader action,mediation,c,,PREP FL 5.11
"If a property buyer fails to meet the financing provisions of the sales contract, what may the broker do with the escrow funds?",Notify the FREC within 10 days,Began a settlement procedure within 30 days,Release the escrow funds to the buyer without notifying the FREC,Release the escrow funds to the seller within 15 business days,c,,PREP FL 5.12
What can happen if a licensee pays hourly wages to a personal assistant?,The licensee’s license can be suspended or revoked,The licensee may face prison time,The broker may face criminal charges,This is legal,d,,PREP FL 5.13
Under what circumstances may a licensee offer an opinion of title?,When the licensee develops the opinion of title with assistance from his employing broker,When the licensee obtains the opinion of title from an attorney and passes the information on to the client,When the licensee uses the abstract of title completed by the title company to develop the opinion of title,When the client does not wish to consult an attorney,b,,PREP FL 5.14
"In Florida, the unlicensed practice of law is a",misdemeanor of the third degree,first-degree felony,civil violation,third-degree felony,d,,PREP FL 5.15
"Sarah is a sales associate who handled the sale of John’s property. John paid the commission to Sarah’s employing broker, Stan, but Stan never paid Sarah her share of the commission. What can Sarah do?",Sue John for not paying Sarah directly,Sue Stan for not paying Sarah her share of the commission,Report Stan to the FREC for a license law violation,"Nothing, sales associates are not permitted to sue",b,,PREP FL 5.16
"If a licensee changes employing brokers, he or she must notify the FREC of the change",immediately,within 30 days of the change,within 10 days after the change,There is no need to notify the FREC of an employing broker change,c,,PREP FL 5.17
Which of the following entities may register as a brokerage?,Corporation sole,Business trust,Unincorporated association,Limited partnership,d,,PREP FL 5.18
Which of the following statements is true?,Sales associates are not permitted to use a trade name,Trade names are not included on the broker’s license,A broker need not have a new license issued if his trade name changes,"Once registered, a broker is prohibited from changing trade names",a,,PREP FL 5.19
An unincorporated association,may register as a real estate brokerage,is a legally binding relationship among its members,is complicated to form,may own property in its own name,b,,PREP FL 5.20
"In a joint venture,",the arrangement is permanent,a written agreement is required,participating members must have joint control,only the controlling partner owes the duty of care and loyalty,c,,PREP FL 5.21
An LLC is a,limited legal corporation,limited liability company,legal liability company,limited liability corporation,b,,PREP FL 5.22
Which of the follow entities may file 501(c)(3) federal tax-exempt status?,Limited liability partnership,Ostensible partnership,Sole proprietorship,Not for profit corporation,d,,PREP FL 5.23
Which type of business entity is prohibited?,For profit corporation,Limited partnership,Ostensible partnership,Corporation sole,c,,PREP FL 5.24
Which of the following may not register as a brokerage?,Cooperative association,Limited liability partnership,Not for profit corporation,General partnership,a,,PREP FL 5.25
"If a licensee changes from one employing broker to another, the licensee",still owes the duty of confidentiality to the former broker and principals,has no further duties to the former broker,owes the full range of duties to both brokers,can be placed on probation,a,,PREP FL 5.26
Licenses changing employing brokers are prohibited from,listing the former broker’s trade name on a resume,acting as a cooperating broker with the former broker,performing any licensed acts under the new broker for six months,removing records from the previous broker’s office,d,,PREP FL 5.27
An administrative complaint against a broker must be filed ___________ after the violation occurred or after the violation was discovered,2 years,be end of business the next day,no longer than 4 years,within 5 years,d,,PREP FL 6.1
Under what circumstances may the DBPR not notify the offending licensee of an investigation,If the offender is a danger to the public,If the Probable Cause Panel finds probable cause,If the offense is a criminal act,If the offender is a broker who employs sales associates,c,,PREP FL 6.2
When may the DBPR issue a notice of noncompliance to a licensee?,When the complaint is for a first-time minor violation,When the licensee disputes the allegations of a complaint,When the complaint is for a misdemeanor in the first degree,When the FREC directs the DBPR to issue the notice,a,,PREP FL 6.3
When is a summary suspension issued?,When there are multiple violations by the same licensee,When the complaint is the result of the licensee committing a felony,When the DBPR believes the licensee poses an immediate danger to the public,When an investigation results in a finding of probable cause,c,,PREP FL 6.4
"When the DBPR initiates an investigation and notifies the offending licensee, the licensee may respond to the complaint within",24 hours,10 days,20 days,30 days,c,,PREP FL 6.5
How many current Commission members must participate in a Probable Cause Panel?,None,1,2,3 or more,b,,PREP FL 6.6
The Probable Cause Panel must make its determination of probable cause within _____ days of receiving the final investigative report,10,15,20,30,d,,PREP FL 6.7
When is a Letter of Guidance issues?,When the violation is a first-time minor violation,When no probable cause is determined,When the DBPR believes the offending licensee is a danger to the public,When the DBPR completes its investigation,b,,PREP FL 6.8
What happens next if probable cause is found for a complaint?,A letter of guidance is issued,The complaint is turned over to the state’s attorney,A formal complaint will be filed against the offender,The offending licensee is suspended,c,,PREP FL 6.9
Which right is provided to the offending licensee through the Election of Rights notice?,Dispute the allegations and request an informal hearing,Do not dispute the allegations and request a formal hearing,Dispute the allegations but plea nolo contendere,Do not dispute the allegations and waive the right to a hearing,d,,PREP FL 6.10
A stipulation agreement must be approved by the,FREC,DBPR,DRE,employing broker,a,,PREP FL 6.11
"If an offending licensee chooses to voluntarily relinquish his license for permanent revocation, which penalties are included in that choice?",Any imposed fines,Restitution to the complainant,Any penalties imposed by the FREC during its approval procedure,None,d,,PREP FL 6.12
"If a real estate license is issued in error,",the license may be revoked without prejudice,the licensee must retake the state examination,the license must be cancelled,the licensee can pay a fee to validate the license,a,,PREP FL 6.13
"To be eligible for monetary reimbursement from the Florida Real Estate Recovery Fund, a claim must be filed within _______ of the date of the action",1 year,2 years,3 years,5 years,b,,PREP FL 6.14
Under no circumstances does the Recovery Fund pay _________ damages,compensatory,actual,punitive,treble,c,,PREP FL 6.15
Conversion is the act of,mixing escrow funds with the broker's operating funds,appropriating client or customer deposits for use in the agency's business,converting an offer into a binding contract,converting escrow funds into equity funds in a property at the closing,b,,PREP FL 6.16
Commingling is the practice of,blending escrow funds on a number of properties in one escrow account,mixing socially with prospects at open houses or other marketing functions,appropriating client or customer deposits for use in the agency's business,mixing escrow funds with the broker's operating funds,d,,PREP FL 6.17
The principal theme of federal fair housing laws is to,ensure all Americans a fair chance to own a home,prohibit discrimination in housing transactions,ensure that housing transactions are negotiated fairly,prohibit agents from dealing unfairly with clients and customers,b,,PREP FL 7.1
"It is illegal to discriminate in selling a house based on race, color, religion, or national origin. This is provided for through",the Civil Rights Act of 1866,Executive Order 11063,the Civil Rights Act of 1968,the Fair Housing Amendments Act of 1988,c,,PREP FL 7.2
"Which of the following laws or rulings extended discrimination to include gender, handicapped status, and family status?",Executive Order 11063,the Civil Rights Act of 1968,the Fair Housing Amendments Act of 1988,Jones v Mayer,c,,PREP FL 7.3
"An agent informs numerous families in a neighborhood that several minority families are planning to move into the immediate area, and that the trend could have adverse effects on property values. This activity is",blockbusting,legal but unprofessional redlining,discriminatory misrepresentation,negligent misrepresentation,a,,PREP FL 7.4
A minority family would like to buy a home in a certain price range. The agent shows the family all available properties in a neighborhood of families with similar backgrounds. The agent did not mention a number of homes in the family's price range in other neighborhoods. This agent could be liable for,blockbusting,providing unequal services,steering,nothing; his services were legal and acceptable,c,,PREP FL 7.5
"An agent does not like a particular minority buyer, and is very short with the person, refusing to engage in lengthy conversation or show him any properties. A second minority party visits the office the next day. The agent is very forthcoming, and shows the person five prospective properties. This agent could be liable for",providing unequal services,steering,misrepresentation,"nothing; both parties were minorities, and therefore no discrimination occurred",a,,PREP FL 7.6
"Following the client's recommendation, an agent conceals the availability of a property from an employed but pregnant and unmarried minority woman. This agent could be liable for",discriminatory misrepresentation,steering,violating fiduciary duty,nothing: an agent may show or not show any property at his or her discretion,a,,PREP FL 7.7
A condominium complex prohibits ownership of any unit by persons under 55 years of age. The association claims it has made the prohibition properly. Which of the following is true?,They are violating the Civil Rights Act of 1866,They are violating the Fair Housing Amendments Act of 1988,They are guilty of age discrimination,The prohibition may be legal,d,,PREP FL 7.8
"An owner suddenly pulls a property off the market after hearing from the agent on the phone that the agent had received a full-price offer from a minority party. The agent then informs the offeror that the home has been removed from the market and is unavailable. Which party or parties, if any, have violated fair housing laws?",The agent only,The owner only,The agent and the owner,Neither agent nor owner,c,,PREP FL 7.9
The parts of the Americans with Disabilities Act that most concern real estate agents are those that deal with,telecommunications and insurance,public accommodations and employment,state and local government,agency and public service,b,,PREP FL 7.10
"The Interstate Land Sales Full Disclosure Act requires developers to provide land buyers with a property disclosure report. Once the buyer receives the report, he may cancel the purchase contract",by end of business on the third day after receipt of the report,within 5 days of signing the contract,any time before midnight on the seventh day after signing the contract,by end of business on the fifth business day after receiving the report,c,,PREP FL 7.11
Which of the following acts is considered discriminatory?,Licensee Lou shows a family with children a home in close proximity to a school,"Joe owns an apartment building and has just interviewed a prospective tenant on the phone. When the tenant arrived to sign the lease, Joe realized the individual is Hispanic.  Consequently, Joe refused to rent to this individual",A condominium association moves designated parking spaces for some residents to make room to designate handicapped parking for a disabled resident,Lou is showing a home to a Jewish family and points out the synagogue down the street,b,,PREP FL 7.12
Which of the following is not a requirement of the Florida Americans with Disabilities Accessibility Implementation Act?,Allowing a service dog to live in a no-pet apartment building,Installing a ramp at the entrance to an apartment building where a wheel-chair-bound tenant lives,Widening the bathroom doorways to 29 inches in a new apartment building,Providing handicapped parking in an apartment building’s parking lot,a,,PREP FL 7.13
"If a lease agreement does not indicate where a security deposit is to be held, the landlord must provide that information to the tenant",prior to signing the lease,within 15 business days of signing the lease,within 30 days of receiving the deposit,That information must be in the lease,c,,PREP FL 7.14
A landlord has _______ to notify a vacated tenant of a claim against the tenant’s security deposit,7 days,15 days,30 days,45 days,c,,PREP FL 7.15
The primary distinction between the legal concepts of real estate and real property is that,real property includes ownership of a bundle of rights,real property includes improvements,"real property is physical, not abstract",real estate can be owned,a,,PREP FL 8.1
Which of the following is included in the bundle of rights inherent in ownership?,To inherit,To tax,To transfer,To vote,c,,PREP FL 8.2
Which of the following is an example of intangible property?,Real estate,Personal property,Artwork,Stock,d,,PREP FL 8.3
The right to use real property is limited by,the right of others to use and enjoy their property,the police,taxation and subordination,Title 12 of the U.S. Civil Code,a,,PREP FL 8.4
"Surface rights, air rights and subsurface rights are",inviolable,unrelated,separable,not transferrable,c,,PREP FL 8.5
Which of the following terms refers to the rights of a property that abuts a stream or river?,Allodial,Alluvial,Littoral,Riparian,d,,PREP FL 8.6
What part of a non-navigable waterway does the owner of an abutting property own?,To the low-water mark,To the middle of the waterway,To the high-water mark,None,b,,PREP FL 8.7
"What is the ""Doctrine of Prior Appropriation?""",A pre-emptive zoning ordinance,The right of government to confiscate land and improvements,A doctrine that gives the state control of water use and the water supply,A real estate tax applied to owners of water rights,c,,PREP FL 8.8
Which of the following is considered real property?,A tree growing on a parcel of land,A tree that has been cut down and is lying on a parcel of land,A tractor used to mow grass on a parcel of land,A prefabricated shed not yet assembled on a parcel of land,a,,PREP FL 8.9
The overriding test of whether an item is a fixture or personal property is,how long it has been attached to the real property,its definition as one or the other in a sale or lease contract,how essential it is to the functioning of the property,how it was treated in previous transactions,b,,PREP FL 8.10
What is an emblement?,A piece of equipment affixed to the earth,A limited right to use personal property,A sign indicating a property boundary,A plant or crop that is considered personal property,d,,PREP FL 8.11
An item can be converted from real to personal property and vice versa by means of which processes?,Assemblage and plottage,Application and dissolution,Affixing and severance,Personalty and severalty,c,,PREP FL 8.12
A grocer temporarily installs special fruit and vegetable coolers in a leased grocery store in order to prevent spoilage. The coolers would be considered which of the following?,Trade fixtures that are real property,Trade fixtures that are personal property,Permanent fixtures that are real property,Permanent fixtures that are personal property,b,,PREP FL 8.13
"Under the doctrine of littoral rights, an owner claims ownership of all of the land underlying a lake where there are three other abutting property owners.  Which of the following is true?","The owner's claim is invalid, because the state owns the underlying land","The owner's claim is invalid, because the underlying land is shared equally with the other owners","The owner's claim is invalid, because he may only own underlying land to the middle of the lake","The owner's claim is valid, because the lake is navigable",a,,PREP FL 8.14
An interest in real estate is best defined as ownership of,the full bundle of rights to real property,an estate,one or more of the bundle of rights to real property,the right to possession and use of real property,c,,PREP FL 8.15
Encumbrances and police powers are,interests that do not include possession,limited forms of an estate,unrelated to interests,types of public interests,a,,PREP FL 8.16
What distinguishes a freehold estate from a leasehold estate?,A freehold includes the right to dispose or use,A leasehold endures only for a specific period of time,A freehold cannot be defeasible,A leasehold is subject to government restrictions,b,,PREP FL 8.17
The highest form of ownership interest one can acquire in real estate is the,dower and curtesy,conventional life estate,defeasible fee simple estate,absolute fee simple estate,d,,PREP FL 8.18
The distinguishing feature of a defeasible fee simple estate is that,it can be passed on to heirs,it has no restrictions on use,the estate may revert to a grantor or heirs if the prescribed use changes,it is of unlimited duration,c,,PREP FL 8.19
"Upon the death of the owner, a life estate passes to",the original owner or other named person,the owner's heirs,the state,the owner's spouse,a,,PREP FL 8.20
How is a conventional life estate created?,It happens automatically when title transfers unless a fee simple is specifically claimed,A fee simple owner grants the life estate to a life tenant,It is created by judicial action,It is created by a statutory period of adverse possession,b,,PREP FL 8.21
What distinguishes a pur autre vie life estate from an ordinary life estate?,The pur autre vie estate endures only for the lifetime of the grantor,The pur autre vie estate endures only for the lifetime of the grantee,The pur autre vie estate endures only for the lifetime of a person other than the grantee,The pur autre vie estate cannot revert to the grantor,c,,PREP FL 8.22
Which of the following life estates is created by someone other than the owner?,Conventional life estate,Ordinary life estate,Legal life estate,Community property life estate,c,,PREP FL 8.23
Which of the following is true of a homestead?,A homestead interest cannot be conveyed by one spouse,A homestead interest cannot be passed to the children of the head of household,A homestead interest is a form of conventional life estate,A homestead is a primary or secondary residence occupied by a family,a,,PREP FL 8.24
Dower refers to,joint tenancy of husband and wife,a wife's life estate interest in her husband's property,a wife's homestead interest,a child's life estate interest in his or her parents' homestead,b,,PREP FL 8.25
