FL-RELEP,2.3,Which of the following is the most accurate definition of real estate broker?,"A person who buys and sells real estate for others, regardless of compensation","A person who buys, sells, and manages real estate for a broker employer for compensation",A person who buys or sells real estate on behalf of others for compensation,"A person who buys, sells, or manages real estate on behalf of others",c,"""Broker means a person who, for another, and for a compensation or valuable consideration directly or indirectly paid or promised, expressly or impliedly, or with an intent to collect or receive a compensation or valuable consideration therefor, appraises, auctions, sells, exchanges, buys, rents, or offers, attempts or agrees to appraise, auction, or negotiate the sale, exchange, purchase, or rental of business enterprises or business opportunities or any real property or any interest in or concerning the same…""  475.01(1)(a)"
FL-RELEP,2.4,Which Florida statute establishes real estate licensees' legal rights and responsibilities?,Chapter 455 ,Chapter 475,Chapter 120,Chapter 61J2,b,"“Purpose.—The Legislature deems it necessary in the interest of the public welfare to regulate real estate brokers, sales associates, and schools in this state."" 475.001"
FL-RELEP,2.5,"What is the best definition for ""real estate""?","Selling, buying, leasing, appraising, auctioning, exchanging for compensation","Interest in land, business enterprises, or business opportunities with some exceptions","Houses, apartments, mobile homes, condominiums, or commercial space for rent or sale",The business of creating a brokerage for offering specific services,b,"“'Real property' or 'real estate' means any interest or estate in land and any interest in business enterprises or business opportunities, including any assignment, leasehold, subleasehold, or mineral right; however, the term does not include any cemetery lot or right of burial in any cemetery; nor does the term include the renting of a mobile home lot or recreational vehicle lot in a mobile home park or travel park."" 475.01(1)(i)"
FL-RELEP,2.6,Which of the following is a requirement of the general licensing provisions?,21 years of age,2 year college degree,U.S. citizen,Social Security number,d,"""Any person desiring to be licensed shall apply to the department in writing. The application for licensure shall be submitted on a form prescribed by the department and must include the applicant’s social security number."" 455.213(1)"
FL-RELEP,2.7,Florida sales associate educational requirements include,75 hours of FREC-approved courses,55 hours of post-licensing coursework prior to initial license expiration,14 hours of continuing education every 2 years,2-year college degree in real estate,c,"""The renewal application for an active license as broker, broker associate, or sales associate shall include proof satisfactory to the commission that the licensee has, since the issuance or renewal of her or his current license, satisfactorily completed at least 14 classroom hours of 50 minutes each of a continuing education course during each biennium of a license period, as prescribed by the commission."" 475.182(1)(a)"
FL-RELEP,2.8,Florida broker pre-license requirements include,passing the broker exam with a score of 60%,3 years of real estate experience during the previous 5 years,holding a Florida sales associate license for previous 12 months,72 hours of pre-licensing coursework,d,"""The course or courses required for one to become initially licensed shall not exceed a total of 63 classroom hours of 50 minutes each, inclusive of examination, for a sales associate and 72 classroom hours of 50 minutes each, inclusive of examination, for a broker."" 475.17(2)(a)1"
FL-RELEP,2.9,"Which of the following real estate services can legally be offered by someone not licensed as a real estate broker, broker associate, or sales associate?",An individual negotiating a sale of real property,A property management firm paying a $200 referral fee to an unlicensed apartment tenant,An apartment complex owner's employee working from an offsite office,An individual renting properly licensed public lodging,d,"""Any person, partnership, corporation, or other legal entity which, for another and for compensation or other valuable consideration, rents or advertises for rent, for transient occupancy, any public lodging establishment licensed under chapter 509.""  475.011(11) Exemptions"
FL-RELEP,2.10,"Which of the following must be licensed as a real estate broker, broker associate, or sales associate?",Anyone acting as an attorney,Anyone procuring purchasers of business opportunities,Anyone selling cemetery lots,Anyone renting mobile home park lots,b,"""… or who takes any part in the procuring of sellers, purchasers, lessors, or lessees of business enterprises or business opportunities or the real property of another…"" 475.01(1)(a) "
FL-RELEP,2.11, Lisa is a full-time graduate student in an appraising degree program at the University of South Florida. All of Lisa's appraisal activities are being supervised by Ken who is a licensed real estate broker. What type of license must Lisa have to perform the appraisal activities she is involved in?,Sales associate license,Appraiser license,Broker associate license,No license,d,"""Any full-time graduate student who is enrolled in a commission-approved degree program in appraising at a college or university in this state, if the student is acting under the direct supervision of a licensed broker or a licensed or certified appraiser and is engaged only in appraisal activities related to the approved degree program."" 475.011(7) Exemptions"
FL-RELEP,2.12,"If Charlie submits an application for licensure, completes the educational requirements, but does not pass the licensing exam, when will Charlie's application expire?",30 days after failing the exam,2 years after it was received,1 year after failing the exam,Never,b,"""The application shall expire 2 years after the date received if the applicant does not pass the appropriate examination."" 475.181(2)"
FL-RELEP,2.13,"To meet the continuing education requirements for either a sales associate or a broker, what can a licensee substitute for 3 classroom hours of coursework?",Attendance at a legal agenda session of the Commission,An approved course on real estate issues relevant to the modern practice of real estate by a licensee,An approved course on technology used in the real estate industry,Any of the above,d,"""Approval or denial of a specialty course must be based on the extent to which the course content focuses on real estate issues relevant to the modern practice of real estate by a real estate licensee, including technology used in the real estate industry. The commission may accept as a substitute for such continuing education course, on a classroom-hour-for-classroom-hour basis, any satisfactorily completed education course that the commission finds is adequate to educate licensees within the intent of this section, including an approved distance learning course. … The commission may accept as a substitute for 3 classroom hours, one time per renewal cycle, attendance at one legal agenda session of the commission."" 475.182(1)(a) and (b)"
FL-RELEP,2.14,A broker's post-license education requirement includes,passing end-of-course exam,72 classroom hours of coursework,60 hours of coursework within 30 days of initial license expiration,14 classroom hours every 2 years,a,"""The commission may prescribe a postlicensure education requirement in order for a person to maintain a valid broker’s license, which shall not exceed 60 classroom hours of 50 minutes each, inclusive of examination, prior to the first renewal following initial licensure."" 475.17(4)(a)"
FL-RELEP,2.15,"Ted is a licensed real estate broker in Florida, but he is moving to North Dakota to live. What should Ted do about his Florida broker license?",Apply to use his Florida license in North Dakota through a mutual recognition agreement,Notify the Commission of his change of residency and comply with nonresident requirements,Exchange his Florida license for a North Dakota license within 60 days of arriving in that state,Use his Florida license in North Dakota since the licensing requirements there are the same as in Florida,b," ""Any resident licensee who becomes a nonresident shall, within 60 days, notify the commission of the change in residency and comply with nonresident requirements. Failure to notify and comply is a violation of the license law, subject to the penalties in s. 475.25."" 475.180(2)(a)"
FL-RELEP,2.16,"If an applicant omitted information on the license application, within what time frame must the applicant be notified to correct the error?",10 days,30 days,60 days,90 days,b,"""Upon receipt of a license application, an agency shall examine the application and, within 30 days after such receipt, notify the applicant of any apparent errors or omissions and request any additional information the agency is permitted by law to require."" 120.60(1)"
FL-RELEP,2.17,"If an applicant makes an error on the license application, the license may be denied if the error is not corrected. What is the exception to this rule?",The error was accidental,The applicant was not notified of the error within the designated time period,The application was from a licensed sales associate applying for a broker's license,The error was not in regard to civil or criminal offenses,b,"""An agency may not deny a license for failure to correct an error or omission or to supply additional information unless the agency timely notified the applicant within this 30-day period."" 120.60(1)"
FL-RELEP,2.18,Which Florida statute or code covers the Commission's administrative rules that include detailed principles for real estate practice?,Chapter 61J2,Chapter 20,Chapter 475,Chapter 455,a,Chapter 61J2 is the Florida Real Estate Commission's administrative rules pursuant to Chapter 120 that include detailed principles for real estate practice. It is an expansion of the Chapter 475 provisions. 61J2
FL-RELEP,2.19,Which statute established general provisions for the Department of Business and Professional Regulation?,Chapter 475,Chapter 455,Chapter 20,Chapter 120,b,"Florida Statute Chapter 455 establishes the general provisions for Business and Professional Regulation, including provisions for military personnel on active duty, spouses of military personnel on active duty, and immigrants practicing real estate"
FL-RELEP,3.1,The Florida Real Estate Commission consists of,"seven members, all appointed by the Governor","seven members, only 4 of whom are appointed by the Governor","nine members, all appointed by the Governor","four members, all licensed brokers and appointed by the Governor",a,"""There is created within the department the Florida Real Estate Commission. The commission shall consist of seven members who shall be appointed by the Governor, subject to confirmation by the Senate."" 475.02(1)"
FL-RELEP,3.2,Which of the following is true regarding the Florida Real Estate Commission?,Members may not teach real estate courses,Disciplinary powers of the Commission may be delegated to any member,Any attorney employed by the Commission may prosecute a matter,The Commission is responsible for fostering the education of brokers in the principles that should govern their conduct,d,"""The commission shall foster the education of brokers, broker associates, sales associates, and instructors concerning the ethical, legal, and business principles which should govern their conduct."" 475.04(1)"
FL-RELEP,3.3,"If a broker's license has become void during a period of economic hardship, when can his license be reinstated?",It can be reinstated after 2 years,It can be reinstated within 6 months,It can be reinstated as sales associate license after 5 years,It cannot be reinstated,b,"""The commission may reinstate the license of an individual whose license has become void if the commission determines that the individual failed to comply because of illness or economic hardship, as defined by rule. The individual must apply to the commission for reinstatement within 6 months after the date that the license becomes void."" 475.183(4)"
FL-RELEP,3.4,Tania has just received her sales associate license. When must she complete her post-license education requirements?,Within the first year after licensure,Prior to the first renewal of her license,Within 1 year after the renewal of her license,Prior to receiving the 90-day renewal notice,b,"""The commission may prescribe a postlicensure education requirement in order for a person to maintain a valid sales associate’s license, which shall not exceed 45 classroom hours of 50 minutes each, inclusive of examination, prior to the first renewal following initial licensure.""  475.17 (3)(a)"
FL-RELEP,3.5,Broker John changed his business address and did not notify the Commission during the required time period. What is the status of John's license?,It is void,It is in voluntary inactive status,It has ceased to be in force,It has been suspended,c,"""A license shall cease to be in force whenever a broker changes her or his business address… The licensee shall notify the commission of the change no later than 10 days after the change…"" 475.23"
FL-RELEP,3.6,Which of the following is a duty or power of the Department of Business and Professional Regulation?,Suspend the license of a broker who is not in compliance with a support order,Establish license and examination fees ,Adopt a seal for authenticating its proceedings,"Educate real estate professionals in ethical, legal, and business principles",a,"""The department shall, when directed by the court or the Department of Revenue pursuant to s. 409.2598, suspend or deny the license of any licensee found not to be in compliance with a support order, subpoena, order to show cause, or written agreement entered into by the licensee with the Department of Revenue."" 455.203(9)"
FL-RELEP,4.1,An agency relationship is formed when a customer,asks for information about a particular property,asks questions about a broker's services and qualifications,pays a broker for help,gives a broker authority to act on his/her behalf,d,"""Determination of agency or transactional brokerage relationship.—Without consideration of the related facts and circumstances, the mere payment or promise to pay compensation to a licensee does not determine whether an agency or transactional brokerage relationship exists between the licensee and a seller, landlord, buyer, or tenant. "" 475.255"
FL-RELEP,4.2,Which type of agency is illegal in Florida?,Universal,Dual,Special,General,b,"""Disclosed dual agency as an authorized form of representation by a real estate licensee in this state is expressly revoked…"" 475.272(1)"
FL-RELEP,4.3,What is the purpose of the Brokerage Relationship Disclosure Act?,To provide customers with a greater understanding of real estate transactions and broker relationships,To discipline real estate brokers for not complying with the requirements for disclosures in real estate transactions,To outline the duties of designated sales associates in real estate transactions,To give real estate customers options for action against brokers who misrepresent their relationship and duties to customers,a,"""In order to eliminate confusion and provide for a better understanding on the part of customers in real estate transactions, the Legislature finds that the intent of the Brokerage Relationship Disclosure Act is to provide that: (1) Disclosed dual agency as an authorized form of representation by a real estate licensee in this state is expressly revoked; (2) Disclosure requirements for real estate licensees relating to authorized forms of brokerage representation are established; (3) Single agents may represent either a buyer or a seller, but not both, in a real estate transaction; and (4) Transaction brokers provide a limited form of nonfiduciary representation to a buyer, a seller, or both in a real estate transaction."" 475.272"
FL-RELEP,4.4,The disclosure requirements for authorized brokerage relationships apply only to,commercial property,agricultural property,residential property,nonresidential property,c,"""The disclosure requirements of s. 475.278 apply only to residential sales as defined in s. 475.278(5)(a). "" 475.274"
FL-RELEP,4.5,The best definition of designated sales associates is,individuals who have obtained their sales associate licensure,the sales associates who work for a particular real estate firm,sales associates who are acting as single agents under certain conditions in the same transaction,sales associates who are assigned to one particular customer,c,"“For purposes of this part, in any real estate transaction other than a residential sale as defined in s. 475.278(5)(a), and where the buyer and seller have assets of $1 million or more, the broker at the request of the customers may designate sales associates to act as single agents for different customers in the same transaction."" 475.2755(1)"
FL-RELEP,4.6,A customer must sign a disclosure showing his or her assets are $1 million or more when in a brokerage relationship with a,transaction broker,subagent,single agent,designated sales associate,d,"""… the buyer and seller as customers shall both sign disclosures stating that their assets meet the threshold described in this subsection and requesting that the broker use the designated sales associate form of representation."" 475.2755(1)"
FL-RELEP,4.7,Which type of property would not be classified as residential?,Single family house,5 acres of agricultural property,10 residential units in one building,Residential triplex,c,"“As used in this subsection, the term 'residential sale' means the sale of improved residential property of four units or fewer, the sale of unimproved residential property intended for use of four units or fewer, or the sale of agricultural property of 10 acres or fewer."" 475.278(5)(a)"
FL-RELEP,4.8,Which of the following is a duty of a transaction broker but not a duty of a single agent?,Limited confidentiality,Disclosure of known material facts,Disclosure of duties in writing,Obedience,a,"""TRANSACTION BROKER RELATIONSHIP… The duties of the real estate licensee in this limited form of representation include the following: … Limited confidentiality, unless waived in writing by a party."" 475.278(2)(f)"
FL-RELEP,4.9,Florida’s real estate disclosure requirements apply in which of the following situations?,The transaction involves a nonresidential property,The 3-residential-unit property is being rented with an option to buy,The signing of a simple month-to-month lease by a residential tenant,The broker is engaged in a conversation with an industrial tenant where no confidential information is exchanged,b,"""The real estate licensee disclosure requirements of this section do not apply to: nonresidential transactions; the rental or leasing of real property, unless an option to purchase all or a portion of the property improved with four or fewer residential units is given;…"" 475.278(5)(b)2"
FL-RELEP,4.10,A broker who represents as a fiduciary both the buyer and seller in a real estate transaction is a,transaction broker,single agent,dual agent,subagent,c,"""As used in this section, the term 'dual agent' means a broker who represents as a fiduciary both the prospective buyer and the prospective seller in a real estate transaction."" 475.278(1)(a)"
FL-RELEP,4.11,"In Florida, it is presumed that all licensees are operating as transaction brokers unless",the customer asks for a single agent relationship,the broker designates a sales associate to act as a single agent,another type of relationship is established in writing,the customer wants no brokerage relationship,c,"""Presumption of transaction brokerage.—It shall be presumed that all licensees are operating as transaction brokers unless a single agent or no brokerage relationship is established, in writing, with a customer."" 475.278(1)(b)"
FL-RELEP,4.12,"In a brokerage relationship that involves designated sales associates, what is the role of the broker?",To advise and assist the sales associates,To advise the customers about all facets of the transaction,To coordinate the relationship between the customer and the sales associate,To coordinate the sharing of all confidential information between the seller and the buyer,a,"""However, Florida law allows a designated sales associate to disclose information allowed to be disclosed or required to be disclosed by law and also allows a designated sales associate to disclose to his or her broker, or persons specified by the broker, confidential information of a customer for the purpose of seeking advice or assistance for the benefit of the customer in regard to a transaction."" 475.2755(1)"
FL-RELEP,4.13,The Brokerage Relationship Disclosure Act,re-establishes dual agency,establishes brokerage representation disclosure requirements,allows a single agent to represent both the buyer and the seller in the same transaction,"requires transaction brokers to provide fiduciary representation to the buyer, the seller, or both in the same transaction",b,"""… the Legislature finds that the intent of the Brokerage Relationship Disclosure Act is to provide that:… Disclosure requirements for real estate licensees relating to authorized forms of brokerage representation are established;…"" 475.272"
FL-RELEP,4.14,The disclosure requirements covered in the Brokerage Relationship Disclosure Act only apply to,commercial properties being sold,properties rented with an option to buy,agricultural properties with 10 or more acres,residential sales,d,"""Scope of coverage.—The authorized brokerage relationships described in ss. 475.2755 and 475.278 apply in all brokerage activities as defined in s. 475.01(1)(a). The disclosure requirements of s. 475.278 apply only to residential sales as defined in s. 475.278(5)(a)."" 475.274"
FL-RELEP,4.15,The main difference between a single agent and a transaction agent is,the duty to disclose known material facts,the fiduciary representation to one customer,when offers must be presented to the seller,accounting for funds,b,"""TRANSACTION BROKER RELATIONSHIP.—A transaction broker provides a limited form of representation to a buyer, a seller, or both in a real estate transaction but does not represent either in a fiduciary capacity or as a single agent."" 475.278(2)"
FL-RELEP,4.16,Chuck is selling a duplex he owns. He has asked Broker Terrance to simply show the property for him. What type of broker relationship do these two men have?,Transaction broker relationship,Single agent relationship,Subagent relationship,No brokerage relationship,d,"Unless Chuck and Terrance enter into an agency agreement, there is no brokerage relationship. Terrance can help facilitate the sale of the property and even be paid commission for the sale, but without a relationship agreed upon either verbally or in writing, it does not exist. However, the broker must still disclose his duties to the seller in writing prior to showing the property. 475.278(4)"
FL-RELEP,4.17,"In the practice of real estate, what is the common term used if a licensee brags that a property located near a large park is ""in the best part of town""?",Misrepresentation,Fraud,Puffing,Exaggeration,c,"Puffing is extravagant claims about the good points of real property and is based on opinion rather than fact, As long as the statement is not an outright lie (or a Fair Housing violation, etc.), puffing is not illegal"
FL-RELEP,4.18,Florida law prohibits a real estate agent from making deceptive representations related to the practice of real estate. Which of the following would be considered a deceptive representation of the practice?,A broker encourages a client to contact to contact a lawyer about the status of their property’s title,A broker informs a potential buyer that the area’s zoning will soon change,A sales associate claiming her license allows her to open her own real estate firm,A sales associate helping their client fill in the blanks of prepared sales contract,c,Only licensees with broker licenses can open their own real estate brokerage. The other answers have actions that licensees can/should do
FL-RELEP,4.19,What might be the best way to conduct an ethical real estate practice?,Copy the behavior of any other agent ,Apply the Golden Rule ,Research statutes for ethics regulation ,Simply follow what is legal ,b,"Do unto others as you would have them do unto you is the ethical code that directs you to treat others as you would want to be treated. It is also known as the ethic of reciprocity. The behavior of any other agent cannot be relied upon to be ethical, and ethics are not regulated by statutes. Therefore, an act can be legal but not ethical"
FL-RELEP,4.20,When may a sales associate be registered as a general partner in a brokerage firm?,When designated as such by the employer broker,When registered under the directing broker of the firm,When employed as full time employee and not independent contractor,May not under Florida statutes regarding registration of general partners,d,"""This section shall not operate to permit a broker associate or sales associate to register or be licensed as a general partner, member, manager, officer, or director of a brokerage firm…"" 475.161"
FL-RELEP,4.21,Under what conditions may a sales associate collect a commission for a real estate transaction?,If the sales association obtains permission from his or her employer to collect the commission in the sales associate's name,If the sales associate collects the commission in his or her own name,If the sales associate has permission from his or her employer to collect the commission and collects it in the employer's name,If the sales associate performed all acts for the transaction,c,"""A sales associate may not collect any money in connection with any real estate brokerage transaction, whether as a commission, deposit, payment, rental, or otherwise, except in the name of the employer and with the express consent of the employer…"" 475.42(1)(d)"
FL-RELEP,4.22,Sales associate Ken wants to sell Susan's property and earn a commission for doing so. How may Ken legally sell the property and earn the commission?,Ken would follow the same steps any broker would follow to sell the property,Ken would need to act under his registered employer and collect the commission in his employer's name,Ken would surprise his employer by selling the property on his own and then collect the commission in his own name,There is no way for Ken to legally sell the property and earn the commission,b,"“…no real estate sales associate, whether the holder of a valid and current license or not, shall commence or maintain any action for a commission or compensation in connection with a real estate brokerage transaction against any person except a person registered as her or his employer at the time the sales associate performed the act or rendered the service for which the commission or compensation is due."" 475.42(1)(d)"
FL-RELEP,4.23,The agency relationship is defined by,the Realtor Code of Ethics,"the laws of agency, or in some states, by statute",the law of real estate contracts,the agreement between a principal and an agent,b,"In every state, a body of law, generally called the law of agency, defines and regulates the legal roles of this relationship. While the relationship is subject to contract law, agency law dictates how the relationship will achieve its purposes, regardless of what the listing contract states"
FL-RELEP,4.24,Which of the following is true of the connection between compensation and the agency relationship?,An agreement to give and receive compensation creates an agency relationship,"If an agency relationship exists, the principal must provide valuable consideration to the agent",The relationship is independent of any compensation arrangement,"If an agency relationship exists, the agent is entitled to compensation",c,It is important to understand that the agency relationship does not require compensation or any form of consideration.  Nor does compensation define an agency relationship: a party other than the principal may compensate the agent
FL-RELEP,4.25,"One of the parties to an agency relationship defaults, and the agreement terminates.  Which of the following is true?",All obligations are extinguished,Both parties must continue to perform all other obligations of the agreement,The defaulting party may have a financial consequence,The damaged party has no claim against the defaulting party,c,"Involuntary termination of the relationship may create legal and financial liability for a party who defaults or cancels.  For example, a client may renounce an agreement but then be held liable for the agent's expenses or commission"
FL-RELEP,4.26,Among the fiduciary duties imposed on a real estate agent is the requirement to,refuse offers the agent knows will be unacceptable to the principal,present all offers to the principal regardless of their amount,advise the principal against accepting an offer that is below full price,advise a prospect that the principal will not accept the prospect's offer in order to elicit a better offer,b,"A conventional listing agreement does not authorize an agent to obligate the client to contracts, and it does not allow the agent to conceal offers to buy, sell, or lease coming from a customer or another agent.   Further, since a client relies on a broker's representations, a broker must exercise care not to offer advice outside of his or her field of expertise"
FL-RELEP,4.27,One of the agent's fiduciary duties that continues even after a listing agreement expires is,obedience,diligence,confidentiality,disclosure,c,The confidentiality standard is one of the duties that extends beyond the termination of the listing: at no time in the future may the agent disclose confidential information
FL-RELEP,4.28,The standard of care and competence that a principal can expect from an agent is generally that which is,specified in the agency agreement,necessary to earn the promised compensation,necessary to procure a customer,comparable to that of other practitioners in the area,d,"The agent is hired to do a job, and is therefore expected to do it with diligence and reasonable competence.  Competence is generally defined as a ""standard of practice"" equal to the level of real estate marketing skills and knowledge of other practitioners in the area"
FL-RELEP,4.29,Agent Michael is showing his new listing to a buyer who informs him that he has just inherited five million dollars.  Michael is now bound by fiduciary duty to,keep the information in confidence,disclose the information to the buyer's agent,disclose the information to the seller,verify the buyer's statements before disclosing them to the client,c,"An agent has the duty to inform the client of all material facts, reports, and rumors that might affect the client's interests in the property transaction.  This includes: the agent's opinion of the property's condition; information about the buyer's motivations and financial qualifications; discussions between agent and buyer regarding the possibility of the agent's representing the buyer in another transaction"
FL-RELEP,4.30,"Agent Gerry has executed an exclusive buyer broker agreement with the Andersons.  The agent subsequently places an offer with Melinda, the exclusive selling agent for the Lincolns, to buy their lakefront property. The offer contains provisions for the Lincolns to pay the brokerage commission, which the Lincolns agree to. Given this set of circumstances, Gerry owes the full set of fiduciary duties to",the Andersons,the Lincolns,Gerry's broker,Melinda's broker,a,"Since Gerry executed an agency agreement with the Andersons, they become the client and the Lincolns the customer, regardless of who pays the commission"
FL-RELEP,4.31,A subagent is the agent of,the seller,the buyer,a broker who has an agency relationship with a client,the client's and the customer's agents,c,"In a subagency, a broker or licensed sales associate works as the agent of a broker who is the agent of a client.  Subagents might include a cooperating licensed broker, that broker's licensed sales associates, and the listing broker's licensed sales associates, all of whom agree to work for the listing broker on behalf of the client"
FL-RELEP,4.32,Which of the following is a dual agency situation?,Two agents share the exclusive right to represent the same client on all transactions,One agent represents both sides in a transaction,A selling agent from one brokerage works with a listing agent from another brokerage to complete a transaction,One agent represents two sellers at the same time,b,Dual agency means representing both principal parties to a transaction. The agent represents both buyer and seller or tenant and owner
FL-RELEP,4.33,The duties of a transaction broker or facilitator include,preserving the confidentiality of information received from either party,helping the two parties achieve their respective objectives,disclosing material facts that affect the value of the property to both parties,choosing to obey the instructions of one party and informing the other party of the decision,c,"In the role of facilitator, the broker's only fiduciary duties and standards of conduct are those of accounting; skill, care, and diligence; honesty and fair dealing; and disclosure to both parties of all material facts in residential sale transactions affecting the property's value.  Some states do not allow for this form of relationship in a real estate transaction"
FL-RELEP,4.34,In which of the following contact situations would a seller's agent be expected to disclose his agency relationships?,The agent is showing the client's property to a prospective buyer,The agent tells an acquaintance at a party about the client's property,The agent answers questions about the client's property for a telephone caller responding to a newspaper ad,The agent is showing a potential buyer houses in a certain price range in the multiple listing book,a,"Agency disclosure must occur upon ""substantive contact"" between the listing agent and a customer.  Examples of substantive contact include: showing the prospect a property; eliciting confidential information from a prospect regarding needs, motivation, or financial qualification; and executing a contractual offer to sell or lease"
FL-RELEP,4.35,The essential foundation of the agency relationship consists of,"mutual respect, compensation, and confidentiality","diligence, results, and compensation","service, marketing, and respect","good faith, trust and confidence",d,"The essence of the agency relationship is trust, confidence, and mutual good faith.  The principal trusts the agent to exercise the utmost skill and care in fulfilling the authorized activity, and to promote the principal's best interests.   The agent undertakes to strive in good faith to achieve the desired objective, and to fulfill the fiduciary duties"
FL-RELEP,4.36,"Audrey wants to take a vacation.  To do so, she authorizes an agent to conduct the operations of one of her business enterprises.  The kind of agency she has established is",limited,general,universal,special,b,"In a general agency, the principal delegates to the agent ongoing tasks and duties within a particular business or enterprise.  Such delegation may include the authority to enter into contracts"
FL-RELEP,4.37,A property seller empowers an agent to market and sell a property on his behalf.  The kind of agency represented is,general,special,universal,no agency,b,"Under a special agency agreement, the principal delegates authority to conduct a specific activity, after which the agency relationship terminates.   In most cases, the special agent may not bind the principal to a contract. Real estate brokerage is commonly based on a special agency"
FL-RELEP,4.38,Implied agency arises when,an agent accepts an oral listing,a principal accepts an oral listing,a party creates an agency relationship outside of an express agreement,"a principal agrees to all terms of a written listing agreement, whether express or implied",c,"An agency relationship can arise by implication, intentionally or unintentionally.  Implication means that the parties act as if there were an agreement.  For example, if an agent promises a buyer to do everything possible to find a property at the lowest possible price, and the buyer accepts the proposition, there may be an implied agency relationship even though there is no specific agreement"
FL-RELEP,4.39,An agency relationship may be involuntarily terminated for which of the following reasons?,Condemnation of the property,Mutual consent,Full performance,Renewal of the agent's license,a,An agency relationship may terminate contrary to the wishes of the parties by reason of: death or incapacity of either party; abandonment by the agent; condemnation or destruction of the property; renunciation; breach; bankruptcy; or revocation of the agent's license
FL-RELEP,4.40,"A principal discloses that she would sell a property for $500,000.  During the listing period, the house is listed and marketed for $530,000.  No offers come in, and the listing expires.  Three weeks later, the agent confides to a customer that the seller would have sold for less than the listed price.  Which of the following is true?",The agent has violated the duty of confidentiality,"The agent has fulfilled all fiduciary duties, since the listing has expired",The agent is violating the duties owed this customer,The agent has created a dual agency situation with the customer,a,"An agent may not disclose any information that would harm the client's interests or bargaining position, or anything else the client wishes to keep secret.  The confidentiality standard is one of the duties that extends beyond the termination of the listing: at no time in the future may the agent disclose confidential information"
FL-RELEP,4.41,"A principal instructs an agent to market a property only to families on the west side of the university campus.  The agent refuses to comply.  In this case,",the agent has violated fiduciary duty,the agent has not violated fiduciary duty,the agent is liable for breaching the listing terms,the agent should obey the instruction to salvage the listing,b,"Since it is illegal to refuse to show buyers the property based on where the buyers live, the agent has not violated fiduciary duty.  The duty of obedience only applies to legal activities"
