Question,Choice 1,Choice 2,Choice 3,Choice 4,Correct Answer,Explanation,Source
"When a board first receives a complaint, it is sent to the _________",Professional Standards Committee,Grievance Committee,Complaint Committee,Board of Directors,b,,FLACE 3.27.
"How much would the Intangible Tax be on a home sold for $200,000 (rate = $.20 / $100)?",$700,$350,$500,$400,d,,FLACE 3.28.
"Which of the following is considered a contingency that must be completed prior to closing?",Going over the Loan Estimate,Inspection and repairs,Signing the loan estimate,Testing for radon gas,b,,FLACE 3.29.
Which of the following distinguishes the conflict-resolution process involving an Ombudsman?,A volunteer is appointed by a local board who offers constructive communication and advocates for consensus and understanding,An independent third party hears a dispute and makes a binding decision on the solution,A third party hears the dispute and makes a binding decision that is appealable by the Grievance Committee,It is a non-appealable process that is settled in Ombudsman court,a,,FLACE 3.30.
Arnold just passed the real estate licensee exam last week. His license has been issued but he has chosen not to activate it. What is the status of the license?,Revoked status,Active status,Voluntary inactive status,Involuntary inactive status,c,,FLACE 4.1.
"Amber is a licensed agent and is moving to Florida from out of state. According to _______, Florida will recognize her license as long as she passes a written examination on general real estate law and codes",mutual recognition agreements,community agreements,national compliance agreements,sister license agreements,a,,FLACE 4.2.
"If a home is not insured for 80% of the replacement cost, the loss would be paid based on the _________ value of the property",replacement cost,rebuilding cost,actual cash,depreciated appraisal,c,,FLACE 4.3.
Which property type still contains most of the furnishings necessary for occupancy?,Vacant property,Unoccupied property,Unimproved property,Deserted property,b,,FLACE 4.4.
Which of the following types of property managers customarily manages a single large property?,A resident manager,An industrial manager,An individual building manager,A commercial property manager,c,,FLACE 4.5.
Property managers are usually considered to be _______,general agents,transaction brokers,dual agents,sales agents,a,,FLACE 4.6.
________ is another name for escrow account,Operating account,Property account,Trust account,House account,c,,FLACE 4.7.
Which statute bans sending unwanted email messages to wireless devices?,CAN-SPAM Act,Telephone Consumer Protection Act,NO-SPAM Act,Email Protection Act,a,,FLACE 4.8.
"In Part II of the Code of Ethics, agents are cautioned to be careful and not practice ______.",accounting,law,medicine,dentistry,b,,FLACE 4.9.
"Realtors® can do appraisals. If they do an appraisal, they must:",Follow USPAP rules and only do appraisals on federally related transactions,Need not follow USPAP rules and only appraise on federally related transactions,Follow USPAP rules and may not appraise any federally related transactions,Need not follow USPAP rules and may not appraise any federally related transactions,c,,FLACE 4.10.
An expense incurred by an income property that was paid to keep the property operating and maintained is _________.,not tax-deductible,a capital improvement,a deductible expense,a capital gain,c,,FLACE 4.11.
How do you calculate the amount realized from a sale?,Subtract the costs of sale from the net proceeds,Subtract the costs of sale from the sale price,Add the costs of sale to the net profit,Add up all of the closing costs,b,,FLACE 4.12.
"__________ have at least 10% of their volume underground and are used to store fuel oil, gasoline, and other toxic fluids",Urea tanks,Asbestos barrels,Greymatter jars,Underground storage tanks,d,,FLACE 4.13.
Which statute is used to regulate and protect the public supply of drinking water?,Public Water Law,Safe Drinking Water Act,Safe Utilities Act,Healthy Public Law,b,,FLACE 4.14.
"After a contract has been signed by all parties, but before closing, the contract is termed ______.",executory,executed,executing,valid,a,,FLACE 4.15.
"The sales contract must contain the name, address, phone number, and email address of",the real estate agents involved in the sale,whoever is holding the earnest money,the attorney who wrote the contract,the closing agent,b,,FLACE 4.16.
"Agent Jane takes her customer Jim, a Latino man, to a neighborhood with a large majority of Latino families. This is known as",steering,blockbusting,"legal activity, especially if he asks for a Latino neighborhood",redlining,a,,FLACE 4.17.
The Americans with Disabilities Act requires new home builders to make what percentage of their homes accessible?,5%,10%,25%,50%,a,,FLACE 4.18.
"Sally's client wants to submit an offer. Sally provides her client with advice, but lets the client decide how much to offer on the house. Which risk management strategy is she practicing?",Interference,Reduction,Mitigation,Substitution,b,,FLACE 4.19.
Which insurance type provides coverage for risks incurred by a property owner when a licensee enters the property?,Professional liability,Errors & Omissions,General liability,Property liability,c,,FLACE 4.20.
Article 1 of the Code of Ethics,talks about agency relationships between buyer and seller,explains how the broker will handle escrow money,details how agents should deal honestly in all transactions,covers how agents may not use hate speech,c,,FLACE 4.21.
Section 1 of the NAR Code of Ethics deals with how a Realtor® should treat his or her customers and clients. How many Articles are covered in Section 1?,21,17,9,3,c,,FLACE 4.22.
What is the first step in the income capitalization method of valuation?,Applying the capitalization rate,Estimating potential gross income,Estimating net operating income,Identifying comparable sales,b,,FLACE 4.23.
Which of the following is an underlying determinant of value?,Substitution,Contribution,Utility,Anticipation,c,,FLACE 4.24.
Realtors® practice the provisions detailed in the Pathway to Professionalism in order to show respect for,"the public, their peers, and their customers","the public, the property, and their clients","the public, the property, and their peers","the property, their peers, and their customers",c,,FLACE 4.25.
How many Articles are in Section III of NARs Code of Ethics?,8,10,3,17,c,,FLACE 4.26.
NAR has recommended the C2EX program be completed by,everyone,a local association's Board of Directors,Florida Realtors'® committee members,NAR staff members,a,,FLACE 4.27.
Which of the following prorations is payable in advance?,Property taxes,Rent,Closing costs,Mortgage interest,b,,FLACE 4.28.
Which step should be completed just prior to closing?,Going over the Loan Estimate,Reviewing the contract and signing it,The walk-through inspection,Applying for a mortgage,c,,FLACE 4.29.
"What is the documentary stamp tax on the deed for a property that sold for $350,000 if the rate is $.70 per $100?",$2.45,$24.50,$245.00,"$2,450.00",d,,FLACE 4.30.
What are the post-license education requirements for broker licensees?,They must complete a 30-hour course,They must complete either a 60-hour course or two 30-hour courses,They must take a 45-hour course and an end-of-course exam,There are no post-licensing requirements for broker licensees,b,,FLACE 5.1.
Matt has had his license on involuntary inactive status for 2 years. What will his license status be immediately following this two-year period?,Null and void license status,Invalid license status,Voluntary inactive status,His license will be revoked,a,,FLACE 5.2.
Which policy is also known as a peril policy?,HO-1 policy,HO-17 policy,HO-2 policy,HO-24 policy,c,,FLACE 5.3.
Which type of insurance policy is ALWAYS excluded from homeowners' policies?,Hurricane policy,Flood policy,Earthquake policy,Mold policy,b,,FLACE 5.4.
Which statute provides regulations for all aspects of residential rental occupancies?,Rental Property Act,Florida Residential Landlord and Tenant Act,Florida Fair Housing Act,Statute Chapter 900,b,,FLACE 5.5.
Which of the following must obtain a license?,Business entities managing their own properties,Salaried property managers,Property managers working for a commission,Individuals managing their own properties,c,,FLACE 5.6.
Attorneys and ___________ may be used to hold funds in escrow,title companies with trust powers,title companies,personal banks,Only attorneys can hold funds in escrow,a,,FLACE 5.7.
Brokers must deposit transaction funds into an escrow account no later than the end of the ________,week,month,second calendar day,third business day,d,,FLACE 5.8.
Realtors® may not advertise,designations they have not obtained,property they have listed,a college degree,an award they won,a,,FLACE 5.9.
Many Realtors® are concerned that the changes in Article 10 of the Code of Ethics will violate their _________,10th Amendment rights (unstated powers belong to states),5th Amendment rights (double jeopardy et al),2nd Amendment rights (bear arms),1st Amendment rights (religion),d,,FLACE 5.10.
How do you calculate the gain on sale of a primary residence?,Subtract the adjusted basis from the amount realized,Add the adjusted basis to the net proceeds,Combine all of the expenses from the sale,Add the capital improvements to the beginning basis,a,,FLACE 5.11.
An investor needs to know the price and _______ in order to identify an investment's rate of return,reserves,net operating income,cost recovery,vacancy,b,,FLACE 5.12.
"During his listing appointment, Cory notices that the AC is sputtering and not cooling down the home. He asks the seller if the AC works and the seller says it has been in bad shape for a while. Cory decides not to disclose that on the listing for fear of scaring buyers. What can he be accused of?",Misrepresentation of expertise,Intentional misrepresentation of a material fact,Negligent behavior,Loyalty to the seller,b,,FLACE 5.13.
Which of the following agency relationship consists of the agent assisting multiple parties at once?,Seller agency,Dual agency,Subagency,Transaction broker relationship,d,,FLACE 5.14.
Anna is selling her home and her agent finds out that she has AIDs. The agent,must disclose this to everyone who looks at the house,must not disclose this fact,must disclose only if the buyer has children,can decide whether to disclose this fact or not,b,,FLACE 5.15.
What is an important provision of all real estate Sales and Purchase Contract?,Time is of the essence,The closing agent,The amount of commission the real estate agents are getting paid,The inspections results,a,,FLACE 5.16.
Who may file a Fair Housing claim against a Realtor®?,Anyone,Only a member of a protected class,Any Realtor®,Only a customer or client,a,,FLACE 5.17.
Which of the following could be classified as disabled under the 2009 Americans with Disabilities Amendment Act?,A current illegal drug user,An alcoholic who is still drinking,An alcoholic who is in recovery,A person who is illegally using prescription drugs,c,,FLACE 5.18.
What does a standard E&O policy cover?,Crimes,Damages resulting from omissions committed while rendering services,Sexual harassment,Mishandling of security deposits,b,,FLACE 5.19.
What is the first line of defense against risk?,Disclosure,Insurance,Education,Documentation,c,,FLACE 5.20.
The National Association of Realtors'® Code of Ethics,has been revised five times since it began,is a guide for professional behavior,must be followed by all licensed real estate agents,is based on the concept of caveat emptor,b,,FLACE 5.21.
The first line of the Preamble of the Code of Ethics reads __________,It was the best of times….,Under all is the land,Once upon a time….,There's no place like home…,b,,FLACE 5.22.
Which of the following is a governmental influence over local real estate markets?,Cost of financing,Construction costs,Local taxing power,Changes in the economic base,c,,FLACE 5.23.
Which of the following factors are industrial users concerned with?,Accessibility by customers,Functionality,Consumer spending patterns,Employee amenities,b,,FLACE 5.24.
What is the correct order of events after a Code of Ethics complaints is filed?,"Board of Directors, then to Professional Standards, then to Grievance Committee","Grievance Committee, then to Board of Directors, then to Professional Standards","Grievance Committee, then to Professional Standards, then to Board of Directors","Professional Standards, then to Grievance Committee, then to Board of Directors",c,,FLACE 5.25.
Section III of the Code of Ethics covers,duties to pets,duties to property,duties to clients,duties to other Realtors®,d,,FLACE 5.26.
Which of the following is the recommended first line of action to resolve a complaint that involves a monetary dispute?,Mediation,Arbitration,Litigation,Escrow disbursement order,a,,FLACE 5.27.
"In Florida, who usually oversees the closing?",A title company,An attorney,A real estate agent,The seller,a,,FLACE 5.28.
What is the Sales Associate's primary responsibility during pre-closing activities?,Assist in completing the loan application,Completing the closing disclosure statement,Ensure all contingencies are completed per the contract,Signing the loan estimate,c,,FLACE 5.29.
Who should complete the walk-through inspection?,The sales associate,The broker,The buyer,The seller,d,,FLACE 5.30.
